,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201
tpr,0.0,0.1,0.1,0.1,0.5,0.5,0.5,1.1,1.1,1.1,2.4,2.4,2.4,5.2,5.2,5.2,8.6,8.6,8.6,12.45,12.45,12.45,16.0,16.0,16.0,20.85,20.85,20.85,25.5,25.5,25.5,30.55,30.55,30.55,35.2,35.2,35.2,40.0,40.0,40.0,43.9,43.9,43.9,48.0,48.0,48.0,51.65,51.65,51.65,55.5,55.5,55.5,58.6,58.6,58.6,61.45,61.45,61.45,63.75,63.75,63.75,65.75,65.75,65.75,67.8,67.8,67.8,69.5,69.5,69.5,71.65,71.65,71.65,73.35,73.35,73.35,75.2,75.2,75.2,76.55,76.55,76.55,78.25,78.25,78.25,79.45,79.45,79.45,80.6,80.6,80.6,81.7,81.7,81.7,82.25,82.25,82.25,83.45,83.45,83.45,83.45,84.45,84.45,84.45,85.2,85.2,85.2,85.8,85.8,85.8,86.6,86.6,86.6,87.3,87.3,87.3,87.9,87.9,87.9,88.75,88.75,88.75,89.5,89.5,89.5,90.2,90.2,90.2,91.0,91.0,91.0,91.8,91.8,91.8,92.5,92.5,92.5,93.55,93.55,93.55,94.35,94.35,94.35,95.45,95.45,95.45,96.35,96.35,96.35,97.15,97.15,97.15,97.85,97.85,97.85,98.2,98.2,98.2,98.7,98.7,98.7,99.0,99.0,99.0,99.3,99.3,99.3,99.5,99.5,99.5,99.75,99.75,99.75,99.8,99.8,99.8,99.9,99.9,99.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
fpr,0.0,0.0,0.0,0.0,0.05,0.05,0.05,0.05,0.05,0.05,0.45,0.45,0.45,0.95,0.95,0.95,1.9,1.9,1.9,3.05,3.05,3.05,4.5,4.5,4.5,6.1,6.1,6.1,7.8,7.8,7.8,9.65,9.65,9.65,11.8,11.8,11.8,13.6,13.6,13.6,15.3,15.3,15.3,17.35,17.35,17.35,18.95,18.95,18.95,21.05,21.05,21.05,22.85,22.85,22.85,24.95,24.95,24.95,26.95,26.95,26.95,29.25,29.25,29.25,31.05,31.05,31.05,32.55,32.55,32.55,34.25,34.25,34.25,35.5,35.5,35.5,37.05,37.05,37.05,38.75,38.75,38.75,40.65,40.65,40.65,42.15,42.15,42.15,43.8,43.8,43.8,45.4,45.4,45.4,47.7,47.7,47.7,49.3,49.3,49.3,49.3,50.55,50.55,50.55,52.3,52.3,52.3,54.1,54.1,54.1,55.9,55.9,55.9,58.3,58.3,58.3,59.75,59.75,59.75,60.75,60.75,60.75,63.2,63.2,63.2,65.05,65.05,65.05,66.3,66.3,66.3,68.25,68.25,68.25,69.5,69.5,69.5,70.65,70.65,70.65,72.4,72.4,72.4,74.4,74.4,74.4,76.35,76.35,76.35,78.05,78.05,78.05,80.5,80.5,80.5,82.45,82.45,82.45,83.85,83.85,83.85,85.9,85.9,85.9,87.55,87.55,87.55,90.0,90.0,90.0,92.3,92.3,92.3,94.15,94.15,94.15,95.8,95.8,95.8,97.4,97.4,97.4,98.4,98.4,98.4,99.1,99.1,99.1,99.8,99.8,99.8,99.85,99.85,99.85,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
auc,0.7454198750000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
