,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201
tpr,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.05,0.05,0.25,0.25,0.25,0.25,0.25,0.75,0.75,0.75,0.75,1.9,1.9,1.9,1.9,1.9,3.8,3.8,3.8,3.8,6.95,6.95,6.95,6.95,6.95,11.95,11.95,11.95,11.95,19.4,19.4,19.4,19.4,19.4,27.15,27.15,27.15,27.15,35.95,35.95,35.95,35.95,46.05,46.05,46.05,46.05,46.05,55.75,55.75,55.75,55.75,64.25,64.25,64.25,64.25,64.25,71.9,71.9,71.9,71.9,78.0,78.0,78.0,78.0,78.0,83.45,83.45,83.45,83.45,87.95,87.95,87.95,87.95,91.3,91.3,91.3,91.3,91.3,93.5,93.5,93.5,93.5,95.7,95.7,95.7,95.7,95.7,97.15,97.15,97.15,97.15,97.95,97.95,97.95,97.95,97.95,98.7,98.7,98.7,98.7,99.5,99.5,99.5,99.5,99.5,99.55,99.55,99.55,99.55,99.7,99.7,99.7,99.7,99.7,99.95,99.95,99.95,99.95,99.95,99.95,99.95,99.95,99.95,99.95,99.95,99.95,99.95,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
fpr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.3,0.3,0.3,0.3,0.7,0.7,0.7,0.7,0.7,1.1,1.1,1.1,1.1,1.65,1.65,1.65,1.65,2.85,2.85,2.85,2.85,2.85,4.2,4.2,4.2,4.2,5.85,5.85,5.85,5.85,5.85,7.55,7.55,7.55,7.55,10.65,10.65,10.65,10.65,10.65,14.55,14.55,14.55,14.55,19.65,19.65,19.65,19.65,24.85,24.85,24.85,24.85,24.85,30.25,30.25,30.25,30.25,36.05,36.05,36.05,36.05,36.05,42.4,42.4,42.4,42.4,48.95,48.95,48.95,48.95,48.95,55.4,55.4,55.4,55.4,61.95,61.95,61.95,61.95,61.95,67.9,67.9,67.9,67.9,74.55,74.55,74.55,74.55,74.55,79.75,79.75,79.75,79.75,84.55,84.55,84.55,84.55,87.8,87.8,87.8,87.8,87.8,91.5,91.5,91.5,91.5,94.0,94.0,94.0,94.0,94.0,95.6,95.6,95.6,95.6,96.9,96.9,96.9,96.9,96.9,98.15,98.15,98.15,98.15,98.75,98.75,98.75,98.75,99.25,99.25,99.25,99.25,99.25,99.6,99.6,99.6,99.6,99.8,99.8,99.8,99.8,99.8,99.9,99.9,99.9,99.9,99.95,99.95,99.95,99.95,99.95,99.95,99.95,99.95,99.95,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
auc,0.9198762500000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
