,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201
tpr,0.0,0.0,0.0,0.0,0.3,0.3,0.3,1.6,1.6,1.6,4.6,4.6,4.6,9.1,9.1,9.1,13.2,13.2,13.2,19.6,19.6,19.6,25.4,25.4,25.4,29.9,29.9,29.9,35.1,35.1,35.1,40.4,40.4,40.4,44.4,44.4,44.4,48.1,48.1,48.1,51.6,51.6,51.6,55.2,55.2,55.2,57.7,57.7,57.7,61.0,61.0,61.0,63.9,63.9,63.9,66.1,66.1,66.1,67.9,67.9,67.9,69.8,69.8,69.8,71.5,71.5,71.5,72.9,72.9,72.9,74.0,74.0,74.0,75.7,75.7,75.7,76.7,76.7,76.7,77.7,77.7,77.7,79.1,79.1,79.1,80.3,80.3,80.3,81.1,81.1,81.1,81.7,81.7,81.7,81.9,81.9,81.9,82.5,82.5,82.5,82.5,83.0,83.0,83.0,83.5,83.5,83.5,84.2,84.2,84.2,84.7,84.7,84.7,85.5,85.5,85.5,86.4,86.4,86.4,87.3,87.3,87.3,88.0,88.0,88.0,88.8,88.8,88.8,89.4,89.4,89.4,90.2,90.2,90.2,91.0,91.0,91.0,91.5,91.5,91.5,92.3,92.3,92.3,93.3,93.3,93.3,94.0,94.0,94.0,95.3,95.3,95.3,96.0,96.0,96.0,96.9,96.9,96.9,97.2,97.2,97.2,97.8,97.8,97.8,98.3,98.3,98.3,98.7,98.7,98.7,99.6,99.6,99.6,99.7,99.7,99.7,99.9,99.9,99.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
fpr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,1.2,1.2,1.2,2.1,2.1,2.1,3.9,3.9,3.9,5.0,5.0,5.0,6.4,6.4,6.4,8.7,8.7,8.7,12.5,12.5,12.5,13.5,13.5,13.5,15.5,15.5,15.5,16.7,16.7,16.7,19.1,19.1,19.1,21.1,21.1,21.1,23.9,23.9,23.9,25.3,25.3,25.3,27.1,27.1,27.1,28.4,28.4,28.4,30.2,30.2,30.2,32.1,32.1,32.1,33.8,33.8,33.8,35.3,35.3,35.3,36.5,36.5,36.5,37.8,37.8,37.8,39.1,39.1,39.1,40.7,40.7,40.7,42.1,42.1,42.1,43.5,43.5,43.5,45.2,45.2,45.2,47.4,47.4,47.4,49.1,49.1,49.1,50.2,50.2,50.2,50.2,51.3,51.3,51.3,53.2,53.2,53.2,54.1,54.1,54.1,55.5,55.5,55.5,57.9,57.9,57.9,59.4,59.4,59.4,60.7,60.7,60.7,62.6,62.6,62.6,64.1,64.1,64.1,65.0,65.0,65.0,65.8,65.8,65.8,67.4,67.4,67.4,68.9,68.9,68.9,70.1,70.1,70.1,72.0,72.0,72.0,73.7,73.7,73.7,75.6,75.6,75.6,77.0,77.0,77.0,78.7,78.7,78.7,81.4,81.4,81.4,83.6,83.6,83.6,85.5,85.5,85.5,86.9,86.9,86.9,88.8,88.8,88.8,90.6,90.6,90.6,92.3,92.3,92.3,94.3,94.3,94.3,96.0,96.0,96.0,98.0,98.0,98.0,98.9,98.9,98.9,99.4,99.4,99.4,99.9,99.9,99.9,99.9,99.9,99.9,100.0,100.0
auc,0.7416955000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
