,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201
tpr,0.0,0.0,0.0,0.6,0.6,2.0,2.0,4.8,4.8,8.6,8.6,13.9,13.9,13.9,18.6,18.6,22.9,22.9,28.6,28.6,34.1,34.1,38.6,38.6,38.6,43.8,43.8,48.9,48.9,52.0,52.0,54.9,54.9,57.4,57.4,57.4,60.1,60.1,62.8,62.8,65.7,65.7,68.5,68.5,70.2,70.2,70.2,72.3,72.3,73.4,73.4,73.9,73.9,74.9,74.9,76.4,76.4,76.4,77.1,77.1,77.9,77.9,78.8,78.8,79.2,79.2,80.0,80.0,80.0,80.7,80.7,81.6,81.6,82.2,82.2,82.9,82.9,83.3,83.3,83.3,83.7,83.7,84.3,84.3,85.2,85.2,85.6,85.6,86.0,86.0,86.0,86.1,86.1,86.7,86.7,86.8,86.8,87.3,87.3,87.9,87.9,87.9,88.0,88.0,88.6,88.6,89.4,89.4,89.8,89.8,89.9,89.9,89.9,90.3,90.3,90.9,90.9,91.6,91.6,92.1,92.1,92.6,92.6,92.6,93.0,93.0,93.7,93.7,94.3,94.3,94.8,94.8,95.7,95.7,95.7,96.8,96.8,97.4,97.4,97.9,97.9,98.0,98.0,98.2,98.2,98.2,98.3,98.3,98.5,98.5,98.7,98.7,99.5,99.5,99.6,99.6,99.6,99.9,99.9,99.9,99.9,99.9,99.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
fpr,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.5,0.5,1.2,1.2,1.7,1.7,1.7,2.9,2.9,3.8,3.8,5.6,5.6,7.3,7.3,9.0,9.0,9.0,11.2,11.2,13.4,13.4,15.1,15.1,16.6,16.6,18.2,18.2,18.2,20.1,20.1,21.6,21.6,22.7,22.7,24.3,24.3,25.0,25.0,25.0,26.0,26.0,26.7,26.7,27.9,27.9,28.7,28.7,30.9,30.9,30.9,31.9,31.9,33.0,33.0,34.0,34.0,34.7,34.7,36.1,36.1,36.1,36.9,36.9,37.5,37.5,38.5,38.5,40.0,40.0,41.2,41.2,41.2,42.2,42.2,42.5,42.5,43.7,43.7,44.8,44.8,45.7,45.7,45.7,47.1,47.1,48.1,48.1,49.1,49.1,50.3,50.3,51.3,51.3,51.3,52.5,52.5,54.0,54.0,55.1,55.1,56.0,56.0,57.0,57.0,57.0,57.6,57.6,58.5,58.5,59.1,59.1,60.5,60.5,61.0,61.0,61.0,61.9,61.9,63.3,63.3,64.5,64.5,65.6,65.6,67.0,67.0,67.0,67.4,67.4,68.6,68.6,69.8,69.8,70.3,70.3,70.9,70.9,70.9,71.6,71.6,72.7,72.7,74.4,74.4,75.2,75.2,76.3,76.3,76.3,77.7,77.7,79.8,79.8,80.5,80.5,81.5,81.5,82.6,82.6,82.6,84.2,84.2,86.1,86.1,88.3,88.3,90.3,90.3,92.2,92.2,92.2,94.2,94.2,95.3,95.3,97.1,97.1,97.7,97.7,98.9,98.9,98.9,99.1,99.1,99.5,99.5,99.8,99.8,100.0,100.0,100.0,100.0,100.0,100.0
auc,0.7937934999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
