,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201
tpr,0.0,0.9,0.9,0.9,4.3,4.3,4.3,9.3,9.3,9.3,17.7,17.7,17.7,24.8,24.8,24.8,32.2,32.2,32.2,36.6,36.6,36.6,43.3,43.3,43.3,48.8,48.8,48.8,54.2,54.2,54.2,57.2,57.2,57.2,60.8,60.8,60.8,63.2,63.2,63.2,65.8,65.8,65.8,67.9,67.9,67.9,69.9,69.9,69.9,72.1,72.1,72.1,73.4,73.4,73.4,74.4,74.4,74.4,75.3,75.3,75.3,75.8,75.8,75.8,77.7,77.7,77.7,78.7,78.7,78.7,79.9,79.9,79.9,80.2,80.2,80.2,80.6,80.6,80.6,81.3,81.3,81.3,81.8,81.8,81.8,82.5,82.5,82.5,82.9,82.9,82.9,83.4,83.4,83.4,84.1,84.1,84.1,84.5,84.5,84.5,84.5,85.3,85.3,85.3,85.9,85.9,85.9,86.5,86.5,86.5,87.0,87.0,87.0,87.6,87.6,87.6,87.9,87.9,87.9,88.0,88.0,88.0,88.4,88.4,88.4,89.1,89.1,89.1,90.0,90.0,90.0,90.5,90.5,90.5,91.4,91.4,91.4,92.5,92.5,92.5,93.1,93.1,93.1,93.3,93.3,93.3,94.1,94.1,94.1,94.6,94.6,94.6,95.6,95.6,95.6,96.4,96.4,96.4,96.8,96.8,96.8,97.6,97.6,97.6,97.9,97.9,97.9,98.3,98.3,98.3,98.7,98.7,98.7,99.4,99.4,99.4,99.6,99.6,99.6,99.8,99.8,99.8,99.8,99.8,99.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
fpr,0.0,0.2,0.2,0.2,0.7,0.7,0.7,2.4,2.4,2.4,3.6,3.6,3.6,6.0,6.0,6.0,9.0,9.0,9.0,11.9,11.9,11.9,15.0,15.0,15.0,17.2,17.2,17.2,19.2,19.2,19.2,21.1,21.1,21.1,23.3,23.3,23.3,24.8,24.8,24.8,26.5,26.5,26.5,27.9,27.9,27.9,29.9,29.9,29.9,30.8,30.8,30.8,32.2,32.2,32.2,34.0,34.0,34.0,34.3,34.3,34.3,34.8,34.8,34.8,36.6,36.6,36.6,37.8,37.8,37.8,38.8,38.8,38.8,40.1,40.1,40.1,41.4,41.4,41.4,43.1,43.1,43.1,44.0,44.0,44.0,45.0,45.0,45.0,45.8,45.8,45.8,47.2,47.2,47.2,48.3,48.3,48.3,49.3,49.3,49.3,49.3,51.1,51.1,51.1,52.6,52.6,52.6,53.8,53.8,53.8,54.9,54.9,54.9,55.6,55.6,55.6,56.6,56.6,56.6,58.0,58.0,58.0,58.8,58.8,58.8,60.3,60.3,60.3,61.8,61.8,61.8,63.0,63.0,63.0,64.4,64.4,64.4,65.9,65.9,65.9,67.2,67.2,67.2,67.8,67.8,67.8,69.1,69.1,69.1,70.7,70.7,70.7,71.8,71.8,71.8,72.7,72.7,72.7,74.8,74.8,74.8,75.9,75.9,75.9,78.3,78.3,78.3,80.5,80.5,80.5,82.0,82.0,82.0,84.0,84.0,84.0,87.0,87.0,87.0,89.1,89.1,89.1,92.1,92.1,92.1,95.0,95.0,95.0,96.9,96.9,96.9,98.8,98.8,98.8,99.4,99.4,99.4,100.0,100.0,100.0,100.0,100.0
auc,0.7601275000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
