,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201
tpr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.3,0.3,0.5,0.5,0.5,0.9,0.9,0.9,1.4,1.4,1.4,2.5,2.5,2.5,4.2,4.2,4.2,6.7,6.8,6.8,9.6,9.6,9.6,13.9,13.9,13.9,17.6,17.6,17.6,22.8,22.8,22.8,29.0,29.0,29.0,34.9,34.9,34.9,40.3,40.3,40.3,47.3,47.3,47.3,53.5,53.5,53.5,58.5,58.5,58.5,63.9,63.9,63.9,69.8,69.8,69.8,74.7,74.7,74.7,78.1,78.1,78.1,82.9,82.9,82.9,85.5,85.5,85.5,88.1,88.1,88.1,90.1,90.1,90.1,92.5,92.5,92.5,93.7,93.7,93.7,93.7,95.5,95.5,95.5,96.5,96.5,96.5,97.5,97.5,97.5,98.2,98.2,98.2,98.6,98.6,98.6,99.2,99.2,99.2,99.4,99.4,99.4,99.5,99.5,99.5,99.5,99.5,99.5,99.6,99.6,99.6,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
fpr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.7,0.7,0.7,1.3,1.3,1.3,2.1,2.1,2.1,3.2,3.2,3.2,4.5,4.5,4.5,6.0,6.0,6.0,7.7,7.7,7.7,9.5,9.5,9.5,12.7,12.7,12.7,15.5,15.5,15.5,18.2,18.2,18.2,21.2,21.2,21.3,24.5,24.5,24.5,28.8,28.8,28.8,35.1,35.1,35.1,40.3,40.3,40.3,46.7,46.7,46.7,46.7,52.2,52.2,52.2,56.7,56.7,56.7,61.0,61.0,61.0,65.8,65.8,65.8,70.2,70.2,70.2,74.2,74.2,74.2,77.9,77.9,77.9,82.0,82.0,82.0,85.6,85.6,85.6,88.5,88.5,88.5,91.1,91.1,91.1,93.4,93.4,93.4,95.3,95.3,95.3,96.6,96.6,96.6,97.8,97.8,97.8,98.2,98.2,98.2,99.0,99.0,99.0,99.2,99.2,99.2,99.5,99.5,99.5,99.5,99.5,99.5,99.8,99.8,99.8,99.9,99.9,99.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
auc,0.8813085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
