,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201
tpr,0.0,0.0,0.0,0.4,1.0,1.0,1.7,2.2,3.4,3.4,5.7,7.9,10.1,10.1,12.5,14.9,17.4,20.3,20.3,22.6,25.1,27.5,27.5,28.9,30.6,32.3,32.3,34.1,34.7,36.2,36.2,37.5,39.1,40.3,41.3,41.3,42.6,43.8,44.5,44.5,45.5,46.4,47.2,47.2,48.0,49.0,49.4,49.4,50.3,50.9,51.9,52.7,52.7,53.2,54.0,54.5,54.5,54.8,55.8,56.5,56.5,57.3,57.6,58.0,58.0,58.9,59.1,59.8,60.5,60.5,61.1,61.5,62.3,62.3,62.7,63.1,63.6,63.6,64.0,64.4,64.7,64.7,65.1,65.2,65.3,65.5,65.5,65.8,65.9,66.4,66.4,66.8,67.0,67.6,67.6,68.0,68.5,69.0,69.0,69.5,69.7,70.1,70.4,70.4,71.0,71.2,71.6,71.6,71.8,72.1,72.7,72.7,73.3,73.5,73.6,73.6,74.1,74.4,74.5,75.4,75.4,75.9,76.2,76.4,76.4,76.8,77.0,77.8,77.8,78.3,78.8,78.9,78.9,79.1,79.1,79.7,80.1,80.1,80.4,80.6,81.1,81.1,81.6,81.6,81.9,81.9,82.5,83.2,83.9,83.9,84.0,84.2,84.7,85.3,85.3,86.0,86.2,86.7,86.7,87.3,87.6,88.1,88.1,88.5,89.0,89.7,89.7,90.3,90.9,91.7,92.1,92.1,92.7,93.2,93.8,93.8,94.5,95.1,95.5,95.5,96.0,96.6,96.6,96.6,97.4,97.6,98.2,98.5,98.5,99.1,99.5,99.6,99.6,99.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
fpr,0.0,0.0,0.1,0.2,0.3,0.3,0.7,1.1,1.7,1.7,2.6,3.6,4.5,4.5,6.0,7.4,9.0,10.1,10.1,12.2,13.7,14.9,14.9,16.0,17.6,18.5,18.5,19.9,21.1,22.6,22.6,23.5,24.6,25.1,25.9,25.9,26.7,27.5,27.8,27.8,28.8,29.4,30.0,30.0,30.2,30.5,31.6,31.6,32.6,32.9,33.8,34.2,34.2,34.7,35.6,36.2,36.2,36.6,37.1,38.0,38.0,38.9,39.4,39.9,39.9,40.0,40.5,40.6,40.7,40.7,41.0,41.6,41.8,41.8,42.4,42.7,43.2,43.2,43.8,44.2,44.9,44.9,45.4,45.6,46.0,46.4,46.4,46.7,47.0,47.4,47.4,47.5,48.1,48.6,48.6,48.8,49.1,49.2,49.2,49.3,49.6,50.1,50.5,50.5,50.7,51.0,51.5,51.5,51.8,52.2,52.6,52.6,53.3,53.7,54.2,54.2,54.5,54.9,55.1,55.5,55.5,55.9,56.3,56.4,56.4,56.6,56.8,57.0,57.0,57.7,58.1,58.2,58.2,58.6,58.9,59.7,60.0,60.0,60.4,61.4,61.9,61.9,62.0,62.9,63.2,63.2,63.6,64.4,65.2,65.2,65.7,66.5,66.8,66.9,66.9,67.3,67.9,68.6,68.6,69.4,70.1,71.0,71.0,72.2,73.2,74.3,74.3,75.0,75.8,76.3,77.7,77.7,78.8,79.8,81.1,81.1,82.5,83.8,84.9,84.9,85.9,86.8,88.0,88.0,90.2,91.7,92.8,94.1,94.1,95.7,96.6,97.3,97.3,98.6,99.5,99.8,99.8,99.9,100.0,100.0,100.0,100.0
auc,0.6388400000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
