,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201
tpr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.8,0.8,0.8,0.8,0.8,1.3,1.3,1.3,1.3,2.4,2.4,2.4,2.4,2.4,4.0,4.0,4.0,4.0,6.6,6.6,6.6,6.6,6.6,9.9,10.0,10.0,10.0,14.1,14.1,14.1,14.1,18.7,18.7,18.7,18.7,18.7,25.0,25.0,25.0,25.0,31.3,31.3,31.3,31.3,31.3,38.7,38.7,38.7,38.7,45.6,45.6,45.6,45.6,45.6,53.2,53.2,53.2,53.2,60.4,60.4,60.4,60.4,67.3,67.3,67.3,67.3,67.3,73.4,73.4,73.4,73.4,78.5,78.5,78.5,78.5,78.5,82.6,82.6,82.6,82.6,87.5,87.5,87.5,87.5,87.5,90.4,90.4,90.4,90.4,92.7,92.7,92.7,92.7,92.7,94.3,94.3,94.3,94.3,95.8,95.8,95.8,95.8,95.8,96.9,96.9,96.9,96.9,97.9,97.9,97.9,97.9,98.9,98.9,98.9,98.9,98.9,99.2,99.2,99.2,99.2,99.2,99.2,99.2,99.2,99.2,99.4,99.4,99.4,99.4,99.8,99.8,99.8,99.8,99.8,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
fpr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.4,0.4,0.4,0.4,0.4,0.7,0.7,0.7,0.7,1.7,1.7,1.7,1.7,2.4,2.4,2.4,2.4,2.4,3.7,3.7,3.7,3.7,5.8,5.8,5.8,5.8,5.8,8.1,8.1,8.1,8.1,10.6,10.6,10.6,10.6,10.6,14.9,14.9,14.9,14.9,20.2,20.2,20.2,20.2,25.0,25.0,25.0,25.0,25.0,30.2,30.2,30.2,30.2,36.7,36.7,36.7,36.7,36.7,43.9,43.9,44.0,44.0,51.5,51.5,51.5,51.5,51.5,57.6,57.6,57.6,57.6,64.3,64.3,64.3,64.3,64.3,70.4,70.4,70.5,70.5,76.4,76.4,76.4,76.4,76.4,82.0,82.0,82.0,82.0,86.4,86.4,86.4,86.4,90.2,90.2,90.2,90.2,90.2,93.3,93.3,93.3,93.3,95.5,95.5,95.5,95.5,95.5,96.8,96.8,96.8,96.8,97.6,97.6,97.6,97.6,97.6,98.6,98.6,98.6,98.6,99.4,99.4,99.4,99.4,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
auc,0.781922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
