,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201
tpr,0.0,1.2,4.0,4.0,8.6,12.7,12.7,17.2,17.2,21.0,24.3,24.3,27.6,27.6,29.7,29.7,32.8,35.1,35.1,37.8,37.8,39.4,41.9,41.9,43.9,43.9,45.5,46.6,46.6,47.7,47.7,49.0,50.0,50.0,51.3,52.2,52.2,52.9,52.9,53.5,53.5,54.1,54.5,54.5,55.3,55.3,55.7,56.5,56.5,56.7,56.7,56.9,57.2,57.2,57.6,57.8,57.8,58.4,58.4,58.8,58.8,58.8,58.8,58.8,59.3,59.3,59.4,59.9,59.9,60.3,60.3,60.4,60.4,60.4,60.9,60.9,61.4,61.6,61.6,61.6,61.7,61.7,62.1,62.1,62.2,62.5,62.5,62.5,62.5,62.5,62.5,62.7,63.1,63.1,63.3,63.3,63.3,63.7,63.7,64.1,64.1,64.1,64.4,64.4,64.7,64.8,64.8,65.3,65.3,65.7,65.9,65.9,66.2,66.2,66.4,66.4,66.6,67.0,67.0,67.3,67.3,67.8,67.8,67.8,68.1,68.1,68.6,69.0,69.0,69.2,69.3,69.3,69.6,69.6,69.9,70.1,70.1,70.1,70.1,70.4,70.4,70.7,71.1,71.1,71.5,71.5,72.2,72.5,72.5,73.2,73.2,73.5,73.7,73.7,74.2,74.8,74.8,75.1,75.1,75.7,76.3,76.3,76.7,76.7,77.3,77.3,77.9,78.3,78.3,78.8,78.8,79.5,80.3,80.3,81.1,81.1,82.7,83.4,83.4,84.1,85.5,85.5,86.6,86.6,87.3,89.0,89.0,90.6,90.6,92.6,92.6,94.0,95.6,95.6,96.4,96.4,97.9,99.1,99.1,99.8,99.8,100.0
fpr,0.0,0.9,2.5,2.5,5.4,8.6,8.6,11.9,11.9,14.0,16.0,16.0,17.8,17.8,20.1,20.1,21.9,24.0,24.0,25.8,25.8,26.9,28.5,28.5,30.3,30.3,31.2,32.2,32.2,33.3,33.3,34.3,35.0,35.0,35.9,36.5,36.5,37.0,37.0,37.5,37.5,38.1,38.7,38.7,39.6,39.6,40.3,40.7,40.7,41.0,41.0,41.4,41.8,41.8,42.3,42.5,42.5,42.9,42.9,43.4,43.4,43.7,43.7,43.7,43.8,43.8,43.9,44.2,44.2,44.5,44.5,44.9,45.1,45.1,45.3,45.3,45.5,45.7,45.7,46.3,46.6,46.6,46.7,46.7,47.0,47.1,47.1,47.8,47.8,47.9,47.9,48.1,48.5,48.5,48.6,48.6,48.9,49.2,49.2,49.7,49.7,50.0,50.2,50.2,50.8,51.0,51.0,51.2,51.2,51.6,51.6,51.6,52.2,52.2,52.6,52.6,52.9,53.0,53.0,53.2,53.2,53.4,53.7,53.7,53.9,53.9,53.9,54.2,54.2,54.5,54.6,54.6,54.6,54.6,55.1,55.6,55.6,56.1,56.1,56.5,56.5,56.5,57.1,57.1,57.3,57.3,57.4,57.5,57.5,57.6,57.6,58.1,58.5,58.5,58.9,59.3,59.3,59.7,59.7,60.3,60.5,60.5,60.8,60.8,61.5,61.5,62.2,62.9,62.9,63.8,63.8,64.7,65.4,65.4,66.5,66.5,67.0,68.1,68.1,69.1,70.5,70.5,72.0,72.0,74.3,76.2,76.2,78.5,78.5,81.7,81.7,83.9,86.3,86.3,90.4,90.4,93.4,95.9,95.9,98.9,98.9,100.0
auc,0.6080720000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
