,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201
tpr,0.0,0.0,0.1,0.6,2.0,5.6,9.2,14.6,18.8,27.7,33.3,39.2,45.3,51.2,54.6,58.5,62.6,65.5,68.5,70.7,70.7,73.1,74.8,76.3,77.8,78.7,79.6,80.0,80.8,81.6,82.4,82.6,83.4,84.0,84.3,84.7,85.3,85.9,86.3,87.0,87.0,87.5,87.9,88.2,88.6,88.8,88.8,89.2,89.4,89.6,90.0,90.2,90.5,90.9,91.2,91.4,91.5,91.9,92.1,92.2,92.2,92.5,92.9,93.1,93.4,93.6,93.9,94.0,94.4,94.9,95.5,95.8,96.0,96.4,97.1,97.3,97.5,97.6,98.1,98.3,98.3,98.3,98.6,98.6,98.8,98.9,99.0,99.4,99.6,99.7,99.7,99.7,99.7,99.8,99.8,99.8,99.8,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
fpr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.6,0.9,0.9,1.3,2.1,2.4,3.2,4.5,5.4,6.0,6.0,7.1,8.9,9.7,10.0,10.9,11.6,12.2,13.2,14.2,15.6,16.5,17.3,17.9,18.6,19.0,20.4,21.3,21.9,22.5,22.5,23.5,24.3,24.7,25.5,26.1,26.9,27.4,27.9,28.2,28.6,29.3,29.8,30.2,30.9,31.3,31.4,32.0,32.5,33.1,33.1,33.5,33.7,33.8,34.2,34.5,34.8,35.3,35.7,35.9,36.4,36.8,37.5,38.1,38.9,39.5,40.2,40.7,40.9,41.7,42.2,42.2,42.8,43.3,43.6,43.8,44.1,44.4,44.8,45.4,45.9,46.1,46.8,47.6,48.1,48.3,48.7,49.3,49.9,50.2,50.2,50.5,51.3,51.5,51.9,52.5,53.0,53.1,53.4,54.0,54.5,55.2,55.8,56.2,56.4,56.9,57.1,57.5,57.8,58.5,58.5,58.9,59.0,59.7,60.1,60.7,60.9,61.2,62.0,62.7,63.0,63.4,63.9,64.5,65.0,65.5,66.2,66.6,66.9,67.3,67.3,68.0,68.2,68.8,69.7,70.3,70.6,71.1,71.5,71.9,72.0,72.4,73.2,74.0,74.4,75.0,75.3,76.0,76.6,77.2,77.2,78.0,78.6,79.3,79.9,80.4,81.1,81.8,82.4,83.2,84.1,84.7,85.3,86.6,87.2,87.8,88.5,89.2,90.8,92.0,92.9,92.9,94.1,95.2,95.9,97.4,98.2,99.0,99.3,99.5,99.5,99.8,99.9,99.9,99.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0
auc,0.9267709999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
