,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201
tpr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.08,0.28,0.46,0.46,0.82,0.82,1.42,1.42,3.0,5.14,5.14,8.16,8.16,12.1,16.2,16.2,21.44,21.44,27.24,33.16,33.16,40.66,40.66,46.76,53.16,53.16,59.26,65.04,65.04,70.26,70.26,75.12,75.12,79.82,83.8,83.8,86.64,86.64,89.44,91.86,91.86,93.26,93.26,94.86,95.94,95.94,96.88,97.48,97.48,97.92,97.92,98.28,98.28,98.72,98.94,98.94,99.12,99.12,99.28,99.46,99.46,99.52,99.52,99.7,99.76,99.76,99.84,99.84,99.86,99.9,99.9,99.92,99.96,99.96,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
fpr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.08,0.08,0.12,0.14,0.14,0.2,0.2,0.24,0.32,0.32,0.44,0.44,0.52,0.68,0.68,0.82,1.06,1.06,1.44,1.44,1.84,1.84,2.24,2.68,2.68,3.34,3.34,3.9,4.74,4.74,6.04,6.04,7.1,8.38,8.38,9.78,9.78,11.34,13.32,13.32,15.38,17.54,17.54,19.38,19.38,21.66,24.04,24.04,26.74,26.74,29.08,29.08,31.68,34.68,34.68,37.76,37.76,41.2,44.76,44.76,47.82,47.82,51.42,54.64,54.64,58.34,61.64,61.64,65.36,65.36,68.88,71.92,71.92,74.62,74.62,77.42,77.42,79.84,82.06,82.06,84.16,84.16,86.16,87.94,87.94,89.4,89.4,91.16,92.22,92.22,93.48,94.66,94.66,95.7,95.7,96.52,97.22,97.22,97.68,97.68,98.0,98.0,98.48,98.66,98.66,99.04,99.04,99.22,99.44,99.44,99.58,99.58,99.72,99.84,99.84,99.88,99.92,99.92,99.94,99.94,99.96,99.96,99.96,99.98,99.98,99.98,99.98,99.98,99.98,99.98,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
auc,0.9983866800000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
