,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201
tpr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.06,0.08,0.08,0.14,0.24,0.44,0.7,0.7,1.08,1.7,2.38,2.38,3.24,4.3,5.48,5.48,7.22,8.88,10.68,10.68,12.42,14.36,16.46,18.7,18.7,20.84,23.06,25.66,25.66,28.16,30.76,33.6,33.6,36.32,39.26,41.9,41.9,44.44,46.92,49.36,51.66,51.66,53.86,56.18,58.28,58.28,60.18,62.28,64.12,64.12,65.94,67.42,68.94,68.94,70.46,71.88,73.26,74.48,74.48,75.68,76.84,78.2,78.2,79.44,80.5,81.46,81.46,82.5,83.24,84.14,84.14,85.0,85.66,86.38,87.1,87.1,87.82,88.52,89.1,89.1,89.94,90.42,90.84,90.84,91.38,91.94,92.38,92.38,92.78,93.14,93.76,94.26,94.26,94.66,95.02,95.46,95.46,95.84,96.12,96.58,96.58,96.88,97.2,97.38,97.38,97.66,97.88,98.06,98.26,98.26,98.46,98.64,98.76,98.76,98.94,99.04,99.18,99.18,99.38,99.48,99.56,99.56,99.6,99.68,99.74,99.76,99.76,99.78,99.84,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.92,99.96,99.96,99.96,99.96,99.98,99.98,99.98,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
fpr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.12,0.12,0.16,0.24,0.36,0.36,0.4,0.5,0.66,0.66,0.8,1.1,1.42,1.68,1.68,2.1,2.5,2.96,2.96,3.44,4.08,4.68,4.68,5.14,5.98,6.64,6.64,7.4,8.22,9.06,9.9,9.9,10.7,11.76,12.46,12.46,13.54,14.34,15.22,15.22,16.06,16.86,17.8,17.8,18.82,19.78,20.86,21.74,21.74,22.74,23.98,24.9,24.9,25.86,26.8,27.7,27.7,28.9,29.9,31.14,31.14,32.24,33.4,35.02,36.12,36.12,37.34,38.68,40.14,40.14,41.06,42.44,43.6,43.6,44.96,46.76,48.08,48.08,49.34,50.44,52.0,53.46,53.46,54.76,56.22,57.72,57.72,59.12,60.34,61.5,61.5,62.76,64.0,65.46,65.46,66.92,68.12,69.5,70.58,70.58,71.72,72.74,73.66,73.66,74.9,76.08,76.8,76.8,77.84,78.62,79.64,79.64,80.38,81.38,82.18,82.94,82.94,83.76,84.72,85.5,85.5,86.22,87.02,87.88,87.88,88.68,89.62,90.42,90.42,91.38,92.02,92.78,93.56,93.56,94.2,94.86,95.46,95.46,96.04,96.56,96.96,96.96,97.48,97.78,98.14,98.14,98.56,98.78,99.1,99.28,99.28,99.54,99.62,99.68,99.68,99.8,99.86,99.9,99.9,99.9,99.92,99.94,99.94,99.96,99.98,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
auc,0.84279514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
