,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201
tpr,0.0,0.28,0.28,0.28,1.7,1.7,1.7,4.64,4.64,4.64,9.28,9.28,9.28,15.22,15.22,15.22,21.54,21.54,21.54,27.52,27.52,27.52,34.2,34.2,34.2,39.16,39.16,39.16,44.36,44.36,44.36,49.22,49.22,49.22,53.7,53.7,53.7,57.84,57.84,57.84,61.78,61.78,61.78,64.94,64.94,64.94,67.16,67.16,67.16,69.22,69.22,69.22,71.0,71.0,71.0,72.94,72.94,72.94,74.1,74.1,74.1,75.52,75.52,75.52,76.64,76.64,76.64,77.58,77.58,77.58,78.54,78.54,78.54,79.28,79.28,79.28,80.18,80.18,80.18,81.02,81.02,81.02,81.76,81.76,81.76,82.28,82.28,82.28,83.0,83.0,83.0,83.76,83.76,83.76,84.38,84.38,84.38,84.98,84.98,84.98,84.98,85.56,85.56,85.56,86.16,86.16,86.16,86.88,86.88,86.88,87.52,87.52,87.52,88.06,88.06,88.06,88.76,88.76,88.76,89.5,89.5,89.5,90.1,90.1,90.1,91.02,91.02,91.02,91.58,91.58,91.58,92.14,92.14,92.14,92.68,92.68,92.68,93.44,93.44,93.44,93.98,93.98,93.98,94.76,94.76,94.76,95.5,95.5,95.5,96.24,96.24,96.24,96.94,96.94,96.94,97.58,97.58,97.58,97.96,97.96,97.96,98.58,98.58,98.58,98.98,98.98,98.98,99.32,99.32,99.32,99.54,99.54,99.54,99.68,99.68,99.68,99.84,99.84,99.84,99.88,99.88,99.88,99.94,99.94,99.94,99.94,99.94,99.94,99.96,99.96,99.96,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
fpr,0.0,0.02,0.02,0.02,0.3,0.3,0.3,0.84,0.84,0.84,1.6,1.6,1.6,2.86,2.86,2.86,4.9,4.9,4.9,6.98,6.98,6.98,9.16,9.16,9.16,11.4,11.4,11.4,13.32,13.32,13.32,15.46,15.46,15.46,17.38,17.38,17.38,19.34,19.34,19.34,21.0,21.0,21.0,22.44,22.44,22.44,23.96,23.96,23.96,25.64,25.64,25.64,27.24,27.24,27.24,28.56,28.56,28.56,30.06,30.06,30.06,31.72,31.72,31.72,33.06,33.06,33.06,34.52,34.52,34.52,35.96,35.96,35.96,37.46,37.46,37.46,38.76,38.76,38.76,40.06,40.06,40.06,41.82,41.82,41.82,43.44,43.44,43.44,44.78,44.78,44.78,46.04,46.04,46.04,47.58,47.58,47.58,49.04,49.04,49.04,49.04,50.6,50.6,50.6,52.0,52.0,52.0,53.24,53.24,53.24,54.8,54.8,54.8,56.18,56.18,56.18,57.22,57.22,57.22,58.9,58.9,58.9,60.9,60.9,60.9,62.22,62.22,62.22,63.92,63.92,63.92,65.58,65.58,65.58,66.64,66.64,66.64,68.1,68.1,68.1,69.28,69.28,69.28,70.62,70.62,70.62,72.2,72.2,72.2,73.8,73.8,73.8,75.54,75.54,75.54,77.0,77.0,77.0,78.8,78.8,78.8,80.5,80.5,80.5,82.16,82.16,82.16,84.28,84.28,84.28,86.08,86.08,86.08,88.14,88.14,88.14,90.6,90.6,90.6,92.98,92.98,92.98,94.92,94.92,94.92,97.1,97.1,97.1,98.48,98.48,98.48,99.42,99.42,99.42,99.9,99.9,99.9,100.0,100.0,100.0,100.0,100.0
auc,0.77318622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
