,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201
tpr,0.0,0.0,0.0,0.0,0.0,0.08,0.08,0.22,0.22,0.52,0.52,1.46,1.46,1.46,3.3,3.3,6.36,6.36,10.74,10.74,16.46,16.46,23.94,23.94,23.94,31.62,31.62,41.16,41.16,49.52,49.52,58.0,58.0,66.68,66.68,66.68,73.58,73.58,79.06,79.06,84.52,84.52,88.04,88.04,91.04,91.04,91.04,93.1,93.1,94.86,94.86,96.06,96.06,97.18,97.18,97.72,97.72,97.72,98.26,98.26,98.94,98.94,99.26,99.26,99.42,99.42,99.58,99.58,99.58,99.58,99.58,99.7,99.7,99.76,99.76,99.84,99.84,99.86,99.86,99.86,99.88,99.88,99.88,99.88,99.92,99.92,99.92,99.92,99.92,99.92,99.92,99.94,99.94,99.96,99.96,99.96,99.96,99.96,99.96,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
fpr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.02,0.02,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.12,0.12,0.2,0.2,0.26,0.26,0.32,0.32,0.32,0.42,0.42,0.52,0.52,0.72,0.72,0.92,0.92,1.2,1.2,1.2,1.52,1.52,2.06,2.06,2.9,2.9,3.88,3.88,4.78,4.78,4.78,6.06,6.06,7.82,7.82,9.42,9.42,11.32,11.32,13.54,13.54,13.54,16.4,16.4,19.14,19.14,21.94,21.94,25.58,25.58,29.4,29.4,29.4,33.04,33.04,36.68,36.68,40.74,40.74,44.66,44.66,48.62,48.62,48.62,52.72,52.72,56.96,56.96,61.08,61.08,64.56,64.56,68.3,68.3,68.3,72.06,72.06,75.64,75.64,79.28,79.28,82.16,82.16,84.76,84.76,84.76,87.1,87.1,89.12,89.12,91.16,91.16,93.0,93.0,94.5,94.5,94.5,95.6,95.6,96.7,96.7,97.44,97.44,97.9,97.9,98.28,98.28,98.28,98.7,98.7,99.08,99.08,99.26,99.26,99.46,99.46,99.58,99.58,99.58,99.68,99.68,99.78,99.78,99.84,99.84,99.86,99.86,99.9,99.9,99.9,99.92,99.92,99.94,99.94,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
auc,0.9980497799999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
