,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201
tpr,0.0,17.7,17.7,17.7,28.54,28.54,28.54,34.74,34.74,34.74,38.5,38.5,38.5,41.84,41.84,41.84,44.22,44.22,44.22,45.98,45.98,45.98,47.56,47.56,47.56,48.76,48.76,48.76,49.94,49.94,49.94,50.68,50.68,50.68,51.46,51.46,51.46,52.08,52.08,52.08,52.64,52.64,52.64,53.04,53.04,53.04,53.46,53.46,53.46,53.88,53.88,53.88,54.34,54.34,54.34,54.74,54.74,54.74,55.2,55.2,55.2,55.68,55.68,55.68,56.1,56.1,56.1,56.36,56.36,56.36,56.74,56.74,56.74,57.0,57.0,57.0,57.16,57.16,57.16,57.46,57.46,57.46,57.76,57.76,57.76,57.96,57.96,57.96,58.26,58.26,58.26,58.46,58.46,58.46,58.56,58.56,58.56,58.84,58.84,58.84,58.84,58.98,58.98,58.98,59.18,59.18,59.18,59.5,59.5,59.5,59.66,59.66,59.66,59.98,59.98,59.98,60.32,60.32,60.32,60.64,60.64,60.64,60.82,60.82,60.82,61.1,61.1,61.1,61.34,61.34,61.34,61.64,61.64,61.64,62.16,62.16,62.16,62.42,62.42,62.42,62.8,62.8,62.8,63.22,63.22,63.22,63.42,63.42,63.42,63.86,63.86,63.86,64.4,64.4,64.4,64.82,64.82,64.82,65.18,65.18,65.18,65.8,65.8,65.8,66.44,66.44,66.44,67.12,67.12,67.12,68.18,68.18,68.18,69.12,69.12,69.12,70.22,70.22,70.22,71.62,71.62,71.62,73.14,73.14,73.14,75.2,75.2,75.2,77.4,77.4,77.4,80.5,80.5,80.5,85.08,85.08,85.08,91.5,91.5,91.5,100.0,100.0
fpr,0.0,14.14,14.14,14.14,22.22,22.22,22.22,27.16,27.16,27.16,31.32,31.32,31.32,34.16,34.16,34.16,36.62,36.62,36.62,38.16,38.16,38.16,39.62,39.62,39.62,40.98,40.98,40.98,42.02,42.02,42.02,42.98,42.98,42.98,43.74,43.74,43.74,44.5,44.5,44.5,45.04,45.04,45.04,45.48,45.48,45.48,45.88,45.88,45.88,46.2,46.2,46.2,46.66,46.66,46.66,47.1,47.1,47.1,47.5,47.5,47.5,47.72,47.72,47.72,47.92,47.92,47.92,48.24,48.24,48.24,48.52,48.52,48.52,48.88,48.88,48.88,49.12,49.12,49.12,49.44,49.44,49.44,49.64,49.64,49.64,49.84,49.84,49.84,50.1,50.1,50.1,50.34,50.34,50.34,50.54,50.54,50.54,50.72,50.72,50.72,50.72,50.88,50.88,50.88,50.96,50.96,50.96,51.14,51.14,51.14,51.34,51.34,51.34,51.54,51.54,51.54,51.86,51.86,51.86,52.04,52.04,52.04,52.2,52.2,52.2,52.48,52.48,52.48,52.66,52.66,52.66,52.98,52.98,52.98,53.18,53.18,53.18,53.6,53.6,53.6,53.88,53.88,53.88,54.08,54.08,54.08,54.3,54.3,54.3,54.6,54.6,54.6,55.02,55.02,55.02,55.5,55.5,55.5,55.98,55.98,55.98,56.58,56.58,56.58,57.24,57.24,57.24,57.76,57.76,57.76,58.48,58.48,58.48,59.38,59.38,59.38,60.6,60.6,60.6,62.28,62.28,62.28,63.96,63.96,63.96,66.18,66.18,66.18,68.76,68.76,68.76,72.32,72.32,72.32,77.2,77.2,77.2,85.74,85.74,85.74,100.0,100.0
auc,0.56136548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
