,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201
tpr,0.0,0.3,0.3,0.3,1.8,1.8,1.8,4.9,4.9,4.9,8.9,8.9,8.9,12.4,12.4,12.4,16.6,16.6,16.6,19.3,19.3,19.3,22.7,22.7,22.7,25.3,25.3,25.3,27.6,27.6,27.6,30.1,30.1,30.1,31.5,31.5,31.5,33.4,33.4,33.4,35.5,35.5,35.5,36.7,36.7,36.7,38.8,38.8,38.8,40.1,40.1,40.1,41.7,41.7,41.7,42.8,42.8,42.8,43.6,43.6,43.6,45.1,45.1,45.1,46.2,46.2,46.2,47.1,47.1,47.1,47.8,47.8,47.8,49.0,49.0,49.0,49.4,49.4,49.4,50.9,50.9,50.9,51.6,51.6,51.6,52.9,52.9,52.9,53.8,53.8,53.8,54.8,54.8,54.8,55.9,55.9,55.9,57.1,57.1,57.1,57.1,57.8,57.8,57.8,58.4,58.4,58.4,59.2,59.2,59.2,60.3,60.3,60.3,60.6,60.6,60.6,61.2,61.2,61.2,62.2,62.2,62.2,62.8,62.8,62.8,63.8,63.8,63.8,64.7,64.7,64.7,65.7,65.7,65.7,66.1,66.1,66.1,67.1,67.1,67.1,67.8,67.8,67.8,68.4,68.4,68.4,69.2,69.2,69.2,70.3,70.3,70.3,71.7,71.7,71.7,72.4,72.4,72.4,74.7,74.7,74.7,77.2,77.2,77.2,78.7,78.7,78.7,80.1,80.1,80.1,81.5,81.5,81.5,83.7,83.7,83.7,86.0,86.0,86.0,88.6,88.6,88.6,91.5,91.5,91.5,93.9,93.9,93.9,96.0,96.0,96.0,97.5,97.5,97.5,98.8,98.8,98.8,99.7,99.7,99.7,100.0,100.0
fpr,0.0,0.1,0.1,0.1,1.1,1.1,1.1,3.3,3.3,3.3,6.3,6.3,6.3,9.0,9.0,9.0,12.0,12.0,12.0,14.3,14.3,14.3,16.0,16.0,16.0,18.2,18.2,18.2,20.2,20.2,20.2,22.3,22.3,22.3,23.6,23.6,23.6,26.1,26.1,26.1,28.0,28.0,28.0,29.9,29.9,29.9,30.8,30.8,30.8,32.0,32.0,32.0,33.3,33.3,33.3,35.1,35.1,35.1,36.0,36.0,36.0,37.0,37.0,37.0,37.6,37.6,37.6,38.2,38.2,38.2,39.3,39.3,39.3,40.0,40.0,40.0,40.6,40.6,40.6,41.5,41.5,41.5,42.2,42.2,42.2,43.1,43.1,43.1,43.8,43.8,43.8,44.5,44.5,44.5,45.0,45.0,45.0,45.6,45.6,45.6,45.6,45.9,45.9,45.9,46.7,46.7,46.7,47.3,47.3,47.3,48.1,48.1,48.1,49.2,49.2,49.2,50.1,50.1,50.1,51.4,51.4,51.4,52.4,52.4,52.4,53.2,53.2,53.2,53.6,53.6,53.6,54.6,54.6,54.6,55.1,55.1,55.1,56.2,56.2,56.2,57.4,57.4,57.4,58.5,58.5,58.5,60.1,60.1,60.1,61.3,61.3,61.3,62.7,62.7,62.7,64.1,64.1,64.1,65.4,65.4,65.4,67.7,67.7,67.7,69.1,69.1,69.1,70.5,70.5,70.5,72.8,72.8,72.8,74.7,74.7,74.7,77.2,77.2,77.2,80.3,80.3,80.3,84.1,84.1,84.1,88.5,88.5,88.5,92.7,92.7,92.7,95.7,95.7,95.7,97.8,97.8,97.8,99.3,99.3,99.3,100.0,100.0
auc,0.5718154999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
