,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201
tpr,0.0,6.8,6.8,13.8,13.8,22.2,22.2,28.1,28.1,32.0,32.0,35.5,35.5,35.5,38.1,38.1,40.7,40.7,42.6,42.6,44.3,44.3,46.0,46.0,46.0,47.3,47.3,48.4,48.4,49.1,49.1,50.0,50.0,50.8,50.8,50.8,51.6,51.6,52.4,52.4,52.8,52.8,53.2,53.2,53.9,53.9,53.9,54.7,54.7,55.0,55.0,55.6,55.6,56.0,56.0,56.4,56.4,56.4,56.4,56.4,56.8,56.8,57.4,57.4,57.8,57.8,58.1,58.1,58.1,58.3,58.3,58.4,58.4,58.7,58.7,58.9,58.9,58.9,58.9,58.9,59.1,59.1,59.4,59.4,59.5,59.5,59.6,59.6,59.9,59.9,59.9,60.3,60.3,60.5,60.5,60.8,60.8,61.1,61.1,61.5,61.5,61.5,61.9,61.9,62.1,62.1,62.2,62.2,62.6,62.6,62.9,62.9,62.9,63.0,63.0,63.6,63.6,64.0,64.0,64.1,64.1,64.4,64.4,64.4,64.7,64.7,64.8,64.8,65.1,65.1,65.6,65.6,65.8,65.8,65.8,66.4,66.4,67.0,67.0,67.3,67.3,67.6,67.6,67.8,67.8,67.8,67.8,67.8,67.9,67.9,68.0,68.0,68.3,68.3,69.1,69.1,69.1,69.7,69.7,70.2,70.2,70.5,70.5,71.0,71.0,71.4,71.4,71.4,72.3,72.3,73.1,73.1,74.6,74.6,74.9,74.9,76.3,76.3,76.3,77.5,77.5,78.4,78.4,80.3,80.3,82.5,82.5,83.7,83.7,83.7,86.4,86.4,89.0,89.0,91.2,91.2,94.8,94.8,97.2,97.2,97.2,100.0
fpr,0.0,5.2,5.2,9.8,9.8,14.4,14.4,19.1,19.1,23.1,23.1,26.1,26.1,26.1,27.8,27.8,29.7,29.7,31.1,31.1,32.7,32.7,34.6,34.6,34.6,35.1,35.1,36.2,36.2,36.9,36.9,37.9,37.9,38.4,38.4,38.4,39.0,39.0,39.4,39.4,40.2,40.2,40.6,40.6,41.2,41.2,41.2,41.7,41.7,42.3,42.3,43.0,43.0,43.3,43.3,43.5,43.5,43.5,43.8,43.8,44.1,44.1,44.2,44.2,44.7,44.7,45.0,45.0,45.0,45.6,45.6,45.9,45.9,46.0,46.0,46.4,46.4,46.5,46.5,46.5,46.7,46.7,46.9,46.9,47.1,47.1,47.3,47.3,47.3,47.3,47.3,47.5,47.5,47.8,47.8,48.0,48.0,48.1,48.1,48.1,48.1,48.1,48.1,48.1,48.2,48.2,48.4,48.4,49.1,49.1,49.2,49.2,49.2,49.7,49.7,49.9,49.9,50.2,50.2,50.5,50.5,50.7,50.7,50.7,50.8,50.8,51.1,51.1,51.4,51.4,51.9,51.9,52.2,52.2,52.2,52.3,52.3,52.8,52.8,53.1,53.1,53.3,53.3,53.7,53.7,53.7,54.2,54.2,54.3,54.3,55.0,55.0,55.5,55.5,55.9,55.9,55.9,56.4,56.4,56.7,56.7,56.9,56.9,57.3,57.3,57.6,57.6,57.6,58.3,58.3,59.4,59.4,60.2,60.2,61.1,61.1,62.3,62.3,62.3,63.6,63.6,65.6,65.6,67.6,67.6,69.4,69.4,71.4,71.4,71.4,74.7,74.7,78.7,78.7,81.8,81.8,87.8,87.8,93.6,93.6,93.6,100.0
auc,0.5929180000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
