,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201
tpr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.9,0.9,0.9,0.9,0.9,1.9,1.9,1.9,1.9,3.5,3.5,3.5,3.5,3.5,5.0,5.0,5.0,5.0,9.1,9.1,9.1,9.1,9.1,13.1,13.1,13.1,13.1,18.5,18.5,18.5,18.5,23.0,23.0,23.0,23.0,23.0,27.0,27.0,27.0,27.0,30.3,30.3,30.3,30.3,30.3,34.9,34.9,34.9,34.9,40.5,40.5,40.5,40.5,40.5,45.7,45.7,45.7,45.7,51.4,51.4,51.4,51.4,56.1,56.1,56.1,56.1,56.1,60.0,60.0,60.0,60.0,64.9,64.9,64.9,64.9,64.9,69.4,69.4,69.4,69.4,74.1,74.1,74.1,74.1,74.1,77.6,77.6,77.6,77.6,81.3,81.3,81.3,81.3,81.3,84.1,84.1,84.1,84.1,86.7,86.7,86.7,86.7,86.7,88.7,88.7,88.7,88.7,90.3,90.3,90.3,90.3,91.3,91.3,91.3,91.3,91.3,92.8,92.8,92.8,92.8,94.6,94.6,94.6,94.6,94.6,95.7,95.7,95.7,95.7,97.1,97.1,97.1,97.1,97.1,97.9,97.9,97.9,97.9,98.6,98.6,98.6,98.6,99.5,99.5,99.5,99.5,99.5,99.6,99.6,99.6,99.6,99.9,99.9,99.9,99.9,99.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
fpr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.6,0.6,0.6,0.6,1.3,1.3,1.3,1.3,1.3,2.2,2.2,2.2,2.2,3.8,3.8,3.8,3.8,3.8,5.8,5.8,5.8,5.8,6.9,6.9,6.9,6.9,8.9,8.9,8.9,8.9,8.9,11.5,11.5,11.5,11.5,14.7,14.7,14.7,14.7,14.7,18.6,18.6,18.6,18.6,21.3,21.3,21.3,21.3,21.3,23.7,23.7,23.7,23.7,28.1,28.1,28.1,28.1,31.6,31.6,31.6,31.6,31.6,36.0,36.0,36.0,36.0,39.3,39.3,39.3,39.3,39.3,44.0,44.0,44.0,44.0,48.7,48.7,48.7,48.7,48.7,53.2,53.2,53.2,53.2,57.4,57.4,57.4,57.4,57.4,60.9,60.9,60.9,60.9,64.6,64.6,64.6,64.6,64.6,68.9,68.9,68.9,68.9,72.4,72.4,72.4,72.4,77.0,77.0,77.0,77.0,77.0,80.8,80.8,80.8,80.8,83.8,83.8,83.8,83.8,83.8,87.3,87.3,87.3,87.3,90.3,90.3,90.3,90.3,90.3,92.8,92.8,92.8,92.8,94.8,94.8,94.8,94.8,96.7,96.7,96.7,96.7,96.7,97.7,97.7,97.7,97.7,98.5,98.5,98.5,98.5,98.5,98.9,98.9,98.9,98.9,99.6,99.6,99.6,99.6,99.6,99.8,99.8,99.8,99.8,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,100.0,100.0
auc,0.6703109999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
