,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201
tpr,0.0,0.05,0.8,0.8,2.15,5.85,5.85,11.0,11.0,16.5,22.55,22.55,29.3,29.3,36.2,36.2,42.45,47.0,47.0,52.2,52.2,56.75,60.6,60.6,63.75,63.75,65.95,68.2,68.2,70.2,70.2,71.75,72.75,72.75,74.1,75.0,75.0,76.1,76.1,76.85,76.85,77.6,78.35,78.35,79.2,79.2,80.2,80.9,80.9,81.6,81.6,81.95,82.5,82.5,82.75,83.05,83.05,83.85,83.85,84.15,84.15,84.5,84.75,84.75,85.2,85.2,85.55,86.15,86.15,86.8,86.8,87.3,87.6,87.6,87.85,87.85,88.25,88.6,88.6,88.9,89.25,89.25,89.65,89.65,90.2,90.55,90.55,90.85,90.85,91.1,91.1,91.45,91.85,91.85,92.25,92.25,92.65,92.95,92.95,93.15,93.15,93.6,94.0,94.0,94.1,94.5,94.5,94.8,94.8,95.4,95.55,95.55,96.2,96.2,96.45,96.45,96.8,96.9,96.9,97.3,97.3,97.75,97.9,97.9,98.15,98.15,98.25,98.45,98.45,98.7,98.8,98.8,98.95,98.95,99.1,99.25,99.25,99.45,99.45,99.5,99.5,99.55,99.6,99.6,99.6,99.6,99.8,99.9,99.9,99.95,99.95,99.95,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
fpr,0.0,0.0,0.0,0.0,0.05,0.15,0.15,0.2,0.2,0.85,1.55,1.55,2.5,2.5,3.65,3.65,4.7,6.15,6.15,7.75,7.75,9.45,11.5,11.5,13.4,13.4,14.9,16.1,16.1,17.5,17.5,18.65,19.5,19.5,20.7,21.8,21.8,22.9,22.9,23.6,23.6,24.1,24.95,24.95,25.7,25.7,26.6,27.8,27.8,28.7,28.7,29.35,30.0,30.0,30.6,31.8,31.8,32.5,32.5,33.25,33.25,34.05,34.45,34.45,35.1,35.1,35.75,36.75,36.75,37.4,37.4,38.2,38.8,38.8,39.3,39.3,39.9,40.95,40.95,41.7,42.3,42.3,42.7,42.7,43.25,44.05,44.05,44.35,44.35,44.85,44.85,45.55,46.1,46.1,46.9,46.9,47.8,48.8,48.8,49.55,49.55,50.25,50.85,50.85,51.2,52.05,52.05,52.75,52.75,53.45,54.1,54.1,54.65,54.65,55.2,55.2,56.2,57.3,57.3,57.75,57.75,58.5,58.9,58.9,59.5,59.5,60.25,60.95,60.95,61.75,61.95,61.95,62.8,62.8,63.45,64.05,64.05,64.9,64.9,65.45,65.45,66.0,66.55,66.55,67.25,67.25,67.65,68.25,68.25,68.9,68.9,69.35,70.15,70.15,71.15,72.05,72.05,72.95,72.95,74.0,74.6,74.6,75.75,75.75,76.65,76.65,78.15,79.0,79.0,80.1,80.1,81.1,82.65,82.65,84.05,84.05,85.85,87.3,87.3,88.95,90.6,90.6,92.35,92.35,94.35,95.95,95.95,97.1,97.1,98.25,98.25,99.1,99.6,99.6,99.8,99.8,100.0,100.0,100.0,100.0,100.0,100.0
auc,0.8554382500000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
