,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201
tpr,0.0,1.38,4.14,8.44,12.82,12.82,17.22,21.36,25.16,25.16,28.22,30.86,33.18,33.18,35.38,37.86,39.68,41.32,41.32,42.8,44.08,45.24,45.24,46.44,47.46,48.18,48.18,48.86,49.76,50.34,50.34,51.06,51.66,52.32,52.82,52.82,53.46,54.16,54.68,54.68,55.18,55.52,55.8,55.8,56.08,56.52,56.8,56.8,57.16,57.48,57.64,58.08,58.08,58.48,58.84,59.04,59.04,59.48,59.72,60.0,60.0,60.28,60.62,60.9,60.9,61.04,61.28,61.5,61.76,61.76,61.98,62.26,62.44,62.44,62.6,62.9,63.0,63.0,63.22,63.5,63.72,63.72,63.9,64.06,64.32,64.36,64.36,64.56,64.8,65.0,65.0,65.2,65.42,65.56,65.56,65.66,65.84,66.08,66.08,66.26,66.48,66.58,66.76,66.76,66.9,67.18,67.28,67.28,67.48,67.74,68.0,68.0,68.14,68.42,68.64,68.64,68.94,69.12,69.42,69.62,69.62,69.88,69.94,70.2,70.2,70.38,70.62,70.82,70.82,71.0,71.2,71.44,71.44,71.62,71.94,72.24,72.62,72.62,72.94,73.08,73.2,73.2,73.58,73.82,74.14,74.14,74.32,74.72,75.06,75.06,75.34,75.58,76.0,76.32,76.32,76.72,77.0,77.42,77.42,77.76,78.24,78.62,78.62,79.08,79.54,80.04,80.04,80.54,81.02,81.52,82.08,82.08,82.7,83.32,83.82,83.82,84.46,85.06,85.96,85.96,86.74,87.4,88.18,88.18,88.92,89.8,90.88,91.58,91.58,92.62,93.78,94.98,94.98,95.9,96.98,98.16,98.16,99.0,99.58,99.94,99.94,100.0
fpr,0.0,1.0,2.64,5.1,7.92,7.92,10.9,13.12,15.52,15.52,18.04,20.14,22.06,22.06,23.56,25.06,26.38,27.72,27.72,29.06,30.42,31.3,31.3,32.18,33.1,33.98,33.98,34.7,35.46,36.06,36.06,36.76,37.3,37.78,38.26,38.26,38.62,38.94,39.56,39.56,39.96,40.38,40.66,40.66,41.08,41.38,41.74,41.74,42.22,42.6,42.92,43.18,43.18,43.4,43.7,43.84,43.84,44.12,44.26,44.58,44.58,44.7,44.9,45.06,45.06,45.3,45.54,45.66,46.0,46.0,46.18,46.32,46.46,46.46,46.56,46.74,46.92,46.92,47.1,47.26,47.46,47.46,47.66,47.74,47.9,48.1,48.1,48.32,48.5,48.7,48.7,48.88,48.96,49.18,49.18,49.38,49.56,49.82,49.82,49.92,50.12,50.26,50.36,50.36,50.46,50.58,50.72,50.72,50.82,50.92,51.08,51.08,51.28,51.38,51.5,51.5,51.76,51.9,52.04,52.2,52.2,52.34,52.46,52.6,52.6,52.72,53.0,53.18,53.18,53.36,53.46,53.64,53.64,53.78,53.96,54.08,54.26,54.26,54.5,54.6,54.76,54.76,55.08,55.32,55.58,55.58,55.9,56.1,56.4,56.4,56.66,56.88,57.08,57.26,57.26,57.66,57.96,58.34,58.34,58.9,59.32,59.76,59.76,60.14,60.56,61.02,61.02,61.6,61.94,62.56,63.12,63.12,63.72,64.42,65.18,65.18,65.94,66.62,67.14,67.14,68.06,69.32,70.46,70.46,71.88,73.32,75.22,76.96,76.96,78.96,81.32,83.32,83.32,86.28,88.66,91.04,91.04,94.1,97.14,99.26,99.26,100.0
auc,0.62133086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
