,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201
tpr,0.0,3.3,3.3,3.3,3.3,3.3,3.3,3.3,12.55,12.55,12.55,12.55,12.55,12.55,12.55,22.95,22.95,22.95,22.95,22.95,22.95,22.95,30.65,30.65,30.65,30.65,30.65,30.65,30.65,37.75,37.75,37.75,37.75,37.75,37.75,37.75,43.55,43.55,43.55,43.55,43.55,43.55,43.55,50.05,50.05,50.05,50.05,50.05,50.05,50.05,50.05,54.95,54.95,54.95,54.95,54.95,54.95,54.95,58.7,58.7,58.7,58.7,58.7,58.7,58.7,62.05,62.05,62.05,62.05,62.05,62.05,62.05,64.9,64.9,64.9,64.9,64.9,64.9,64.9,67.5,67.5,67.5,67.5,67.5,67.5,67.5,69.6,69.6,69.6,69.6,69.6,69.6,69.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,73.75,73.75,73.75,73.75,73.75,73.75,73.75,75.95,75.95,75.95,75.95,75.95,75.95,75.95,77.4,77.4,77.4,77.4,77.4,77.4,77.4,79.05,79.05,79.05,79.05,79.05,79.05,79.05,80.8,80.8,80.8,80.8,80.8,80.8,80.8,82.55,82.55,82.55,82.55,82.55,82.55,82.55,84.4,84.4,84.4,84.4,84.4,84.4,84.4,86.95,86.95,86.95,86.95,86.95,86.95,86.95,86.95,89.0,89.0,89.0,89.0,89.0,89.0,89.0,92.05,92.05,92.05,92.05,92.05,92.05,92.05,94.95,94.95,94.95,94.95,94.95,94.95,94.95,97.25,97.25,97.25,97.25,97.25,97.25,97.25,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.8,99.8,99.8,99.8,99.8,99.8,99.8,100.0,100.0
fpr,0.0,1.2,1.2,1.2,1.2,1.2,1.2,1.2,5.5,5.5,5.5,5.5,5.5,5.5,5.5,10.8,10.8,10.8,10.8,10.8,10.8,10.8,16.3,16.3,16.3,16.3,16.3,16.3,16.3,21.45,21.45,21.45,21.45,21.45,21.45,21.45,24.75,24.75,24.75,24.75,24.75,24.75,24.75,28.5,28.5,28.5,28.5,28.5,28.5,28.5,28.5,31.45,31.45,31.45,31.45,31.45,31.45,31.45,34.35,34.35,34.35,34.35,34.35,34.35,34.35,37.3,37.3,37.3,37.3,37.3,37.3,37.3,40.25,40.25,40.25,40.25,40.25,40.25,40.25,42.95,42.95,42.95,42.95,42.95,42.95,42.95,45.65,45.65,45.65,45.65,45.65,45.65,45.65,48.95,48.95,48.95,48.95,48.95,48.95,48.95,48.95,51.65,51.65,51.65,51.65,51.65,51.65,51.65,54.25,54.25,54.25,54.25,54.25,54.25,54.25,57.05,57.05,57.05,57.05,57.05,57.05,57.05,59.4,59.4,59.4,59.4,59.4,59.4,59.4,62.2,62.2,62.2,62.2,62.2,62.2,62.2,64.8,64.8,64.8,64.8,64.8,64.8,64.8,67.75,67.75,67.75,67.75,67.75,67.75,67.75,71.8,71.8,71.8,71.8,71.8,71.8,71.8,71.8,75.75,75.75,75.75,75.75,75.75,75.75,75.75,79.8,79.8,79.8,79.8,79.8,79.8,79.8,83.9,83.9,83.9,83.9,83.9,83.9,83.9,89.4,89.4,89.4,89.4,89.4,89.4,89.4,94.9,94.9,94.9,94.9,94.9,94.9,94.9,98.3,98.3,98.3,98.3,98.3,98.3,98.3,100.0,100.0
auc,0.653737375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
