,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201
tpr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.06,0.1,0.2,0.2,0.28,0.48,0.72,0.72,1.06,1.64,2.2,2.84,2.84,3.6,4.68,5.94,5.94,7.8,9.52,11.58,11.58,13.88,16.56,19.4,19.4,22.58,25.56,28.86,32.02,32.02,35.42,39.22,42.7,42.7,46.1,49.78,52.94,52.94,56.38,59.86,63.38,63.38,66.38,69.2,71.8,74.06,74.06,76.72,78.96,81.14,81.14,83.1,84.92,86.5,86.5,87.88,89.08,90.4,90.4,91.78,92.64,93.54,94.38,94.38,95.3,96.02,96.7,96.7,97.2,97.52,97.9,97.9,98.18,98.46,98.66,98.66,98.94,99.08,99.28,99.4,99.4,99.54,99.68,99.74,99.74,99.74,99.78,99.78,99.78,99.84,99.88,99.9,99.9,99.92,99.94,99.96,99.96,99.96,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
fpr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.04,0.06,0.08,0.08,0.14,0.16,0.22,0.22,0.24,0.3,0.4,0.5,0.5,0.56,0.68,0.76,0.76,0.82,1.06,1.28,1.28,1.38,1.72,2.04,2.04,2.54,2.94,3.58,4.36,4.36,5.02,5.9,6.92,6.92,7.92,8.92,9.94,9.94,11.36,12.88,14.54,14.54,16.12,18.06,20.1,21.9,21.9,23.9,26.06,28.62,28.62,30.86,33.4,35.68,35.68,38.36,40.58,43.0,43.0,46.16,48.86,51.6,54.48,54.48,57.36,60.06,62.78,62.78,65.66,68.14,70.82,70.82,73.2,75.6,77.88,77.88,79.76,81.6,83.72,85.4,85.4,86.74,88.28,89.4,89.4,90.58,91.78,92.58,92.58,93.6,94.44,95.38,95.38,96.02,96.7,97.42,97.82,97.82,98.28,98.52,98.84,98.84,99.02,99.24,99.38,99.38,99.42,99.48,99.56,99.56,99.68,99.74,99.8,99.82,99.82,99.84,99.92,99.96,99.96,99.96,99.98,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
auc,0.95268978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
