,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201
tpr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.2,0.2,0.2,0.2,0.45,0.55,0.55,0.9,0.9,1.35,2.0,2.0,3.0,3.8,3.8,5.05,5.05,6.7,6.7,8.75,10.65,10.65,12.4,12.4,14.75,17.95,17.95,20.55,20.55,24.15,27.45,27.45,31.0,35.3,35.3,39.1,39.1,44.05,44.05,48.5,52.55,52.55,57.05,57.05,61.3,65.0,65.0,68.7,68.7,71.75,75.1,75.1,78.05,78.05,80.5,83.4,83.4,85.0,87.4,87.4,89.1,89.1,90.8,92.4,92.4,93.5,93.5,94.65,94.65,95.75,96.4,96.4,96.85,96.85,97.35,98.05,98.05,98.5,98.5,98.7,98.75,98.75,99.15,99.35,99.35,99.5,99.5,99.5,99.55,99.55,99.6,99.6,99.75,99.75,99.85,99.95,99.95,99.95,99.95,99.95,99.95,99.95,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
fpr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.35,0.35,0.45,0.5,0.5,0.55,0.6,0.6,0.85,0.85,1.0,1.0,1.15,1.55,1.55,2.35,2.35,3.1,3.65,3.65,4.9,4.9,5.85,7.1,7.1,8.55,8.55,10.1,12.0,12.0,14.55,16.55,16.55,18.55,18.55,21.15,23.55,23.55,26.55,26.55,29.55,29.55,32.0,34.4,34.4,37.2,37.2,40.65,44.2,44.2,47.6,47.6,51.25,54.75,54.75,57.8,61.15,61.15,64.45,64.45,67.45,70.15,70.15,72.9,72.9,75.75,75.75,78.5,80.95,80.95,83.1,83.1,85.35,87.25,87.25,89.25,89.25,91.15,92.05,92.05,93.6,94.7,94.7,95.6,95.6,96.0,96.95,96.95,97.45,97.45,98.0,98.0,98.35,98.6,98.6,98.9,98.9,99.15,99.3,99.3,99.5,99.5,99.55,99.7,99.7,99.8,99.8,99.8,99.9,99.9,99.95,99.95,99.95,99.95,99.95,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
auc,0.9354185000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
