,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201
tpr,0.0,0.82,0.82,0.82,0.82,0.82,0.82,0.82,2.9,2.9,2.9,2.9,2.9,2.9,2.9,7.08,7.08,7.08,7.08,7.08,7.08,7.08,13.52,13.52,13.52,13.52,13.52,13.52,13.52,20.24,20.24,20.24,20.24,20.24,20.24,20.24,27.34,27.34,27.34,27.34,27.34,27.34,27.34,34.28,34.28,34.28,34.28,34.28,34.28,34.28,34.28,40.84,40.84,40.84,40.84,40.84,40.84,40.84,47.58,47.58,47.58,47.58,47.58,47.58,47.58,53.18,53.18,53.18,53.18,53.18,53.18,53.18,58.46,58.46,58.46,58.46,58.46,58.46,58.46,63.34,63.34,63.34,63.34,63.34,63.34,63.34,67.52,67.52,67.52,67.52,67.52,67.52,67.52,71.38,71.38,71.38,71.38,71.38,71.38,71.38,71.38,74.26,74.26,74.26,74.26,74.26,74.26,74.26,77.76,77.76,77.76,77.76,77.76,77.76,77.76,80.5,80.5,80.5,80.5,80.5,80.5,80.5,83.84,83.84,83.84,83.84,83.84,83.84,83.84,86.34,86.34,86.34,86.34,86.34,86.34,86.34,89.0,89.0,89.0,89.0,89.0,89.0,89.0,91.56,91.56,91.56,91.56,91.56,91.56,91.56,93.7,93.7,93.7,93.7,93.7,93.7,93.7,93.7,95.72,95.72,95.72,95.72,95.72,95.72,95.72,97.48,97.48,97.48,97.48,97.48,97.48,97.48,98.6,98.6,98.6,98.6,98.6,98.6,98.6,99.4,99.4,99.4,99.4,99.4,99.4,99.4,99.84,99.84,99.84,99.84,99.84,99.84,99.84,99.96,99.96,99.96,99.96,99.96,99.96,99.96,100.0,100.0
fpr,0.0,0.28,0.28,0.28,0.28,0.28,0.28,0.28,1.3,1.3,1.3,1.3,1.3,1.3,1.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,6.2,6.2,6.2,6.2,6.2,6.2,6.2,10.1,10.1,10.1,10.1,10.1,10.1,10.1,14.06,14.06,14.06,14.06,14.06,14.06,14.06,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,22.04,22.04,22.04,22.04,22.04,22.04,22.04,26.4,26.4,26.4,26.4,26.4,26.4,26.4,30.8,30.8,30.8,30.8,30.8,30.8,30.8,35.32,35.32,35.32,35.32,35.32,35.32,35.32,39.84,39.84,39.84,39.84,39.84,39.84,39.84,44.7,44.7,44.7,44.7,44.7,44.7,44.7,49.2,49.2,49.2,49.2,49.2,49.2,49.2,49.2,54.18,54.18,54.18,54.18,54.18,54.18,54.18,58.54,58.54,58.54,58.54,58.54,58.54,58.54,62.98,62.98,62.98,62.98,62.98,62.98,62.98,67.46,67.46,67.46,67.46,67.46,67.46,67.46,71.9,71.9,71.9,71.9,71.9,71.9,71.9,75.7,75.7,75.7,75.7,75.7,75.7,75.7,80.02,80.02,80.02,80.02,80.02,80.02,80.02,83.82,83.82,83.82,83.82,83.82,83.82,83.82,83.82,87.64,87.64,87.64,87.64,87.64,87.64,87.64,91.48,91.48,91.48,91.48,91.48,91.48,91.48,94.7,94.7,94.7,94.7,94.7,94.7,94.7,97.2,97.2,97.2,97.2,97.2,97.2,97.2,99.04,99.04,99.04,99.04,99.04,99.04,99.04,99.82,99.82,99.82,99.82,99.82,99.82,99.82,100.0,100.0
auc,0.6489827400000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
