,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201
tpr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.06,0.06,0.1,0.1,0.2,0.2,0.32,0.46,0.78,0.78,1.24,1.94,2.64,3.5,3.5,4.66,5.96,7.46,7.46,9.04,11.04,13.46,13.46,15.86,18.2,21.02,21.02,24.36,27.74,31.58,35.28,35.28,39.06,42.68,46.32,46.32,49.98,53.6,57.1,57.1,60.52,64.1,67.14,67.14,70.14,72.78,75.88,78.18,78.18,80.36,82.58,84.54,84.54,86.64,87.98,89.26,89.26,90.52,91.68,92.88,92.88,93.66,94.44,95.34,96.1,96.1,96.66,97.06,97.42,97.42,97.84,98.12,98.44,98.44,98.6,98.76,98.98,98.98,99.16,99.28,99.4,99.54,99.54,99.64,99.72,99.74,99.74,99.82,99.82,99.84,99.84,99.88,99.9,99.9,99.9,99.94,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
fpr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.02,0.04,0.06,0.08,0.08,0.08,0.1,0.16,0.22,0.22,0.3,0.4,0.5,0.5,0.58,0.62,0.88,0.88,1.08,1.36,1.52,1.52,1.9,2.18,2.72,3.16,3.16,3.96,4.58,5.32,5.32,6.38,7.68,8.78,8.78,10.32,11.68,12.98,12.98,14.54,16.46,18.54,20.44,20.44,22.46,24.82,26.86,26.86,29.36,31.94,34.28,34.28,36.92,39.58,42.62,42.62,45.74,48.8,51.66,54.96,54.96,57.98,60.98,63.9,63.9,66.52,69.26,71.64,71.64,73.96,76.36,78.6,78.6,80.9,82.84,84.9,86.7,86.7,88.02,89.52,90.82,90.82,91.98,93.18,93.9,93.9,94.64,95.52,96.26,96.26,96.84,97.38,97.98,98.28,98.28,98.6,98.94,99.16,99.16,99.24,99.4,99.58,99.58,99.72,99.8,99.8,99.8,99.84,99.88,99.88,99.9,99.9,99.9,99.92,99.94,99.94,99.94,99.94,99.94,99.94,99.94,99.96,99.96,99.96,99.96,99.98,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
auc,0.9657460000000008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
