,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201
tpr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3,0.3,0.4,0.7,1.0,1.0,1.7,3.1,4.2,4.2,5.9,7.6,10.0,10.0,13.6,16.7,20.4,23.8,23.8,28.2,32.1,35.7,35.7,40.2,45.5,49.9,49.9,53.5,58.6,62.0,62.0,66.6,69.7,72.7,75.2,75.2,78.1,80.0,82.2,82.2,84.1,86.1,87.2,87.2,89.6,91.2,92.4,92.4,93.5,94.8,95.8,97.0,97.0,97.5,98.0,98.0,98.0,98.1,98.3,98.7,98.7,98.9,99.1,99.1,99.1,99.3,99.5,99.6,99.6,99.6,99.7,99.7,99.8,99.8,99.8,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
fpr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.4,0.5,0.5,0.5,0.7,0.7,0.7,0.8,0.9,1.1,1.2,1.2,1.4,1.4,1.6,1.6,2.0,2.3,2.6,2.6,2.8,3.4,3.7,3.7,4.2,4.8,5.7,6.4,6.4,7.8,8.5,9.1,9.1,10.6,11.7,12.9,12.9,14.7,15.7,17.4,17.4,18.9,20.4,22.0,24.9,24.9,26.8,28.2,29.7,29.7,32.0,34.1,37.5,37.5,39.8,42.1,44.1,44.1,46.3,48.2,50.4,52.6,52.6,55.2,57.2,59.5,59.5,62.2,64.7,66.8,66.8,69.6,70.8,72.3,72.3,74.0,75.8,77.3,79.4,79.4,80.7,82.5,83.9,83.9,85.2,86.4,87.8,87.8,88.6,90.0,91.1,91.1,92.3,92.8,93.7,94.1,94.1,94.7,95.5,95.7,95.7,95.8,96.6,96.9,96.9,97.1,97.4,97.7,97.7,98.0,98.1,98.3,98.6,98.6,98.9,98.9,99.1,99.1,99.3,99.7,99.7,99.7,99.8,99.8,99.9,99.9,99.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
auc,0.9869785000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
