,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201
tpr,0.0,0.0,0.3,1.25,3.15,6.8,10.85,17.45,24.2,31.45,37.75,44.2,49.55,54.9,59.05,62.85,66.25,68.7,71.35,73.15,73.15,75.15,76.85,77.5,78.7,79.3,80.0,81.05,81.6,82.35,83.0,83.35,83.95,84.8,85.2,86.1,86.6,86.9,87.2,87.65,87.65,87.95,88.35,88.65,89.0,89.35,89.75,90.15,90.25,90.45,90.7,91.25,91.5,91.95,92.3,92.75,93.15,93.4,93.8,94.1,94.1,94.35,94.65,95.0,95.25,95.6,95.8,95.95,96.25,96.45,96.6,96.8,97.15,97.3,97.5,97.6,97.7,97.95,98.15,98.25,98.45,98.45,98.6,98.85,99.05,99.2,99.2,99.25,99.25,99.55,99.55,99.7,99.7,99.8,99.8,99.8,99.85,99.85,99.9,99.95,99.95,99.95,99.95,99.95,99.95,99.95,99.95,99.95,99.95,99.95,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
fpr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.35,0.55,0.85,1.6,2.35,3.2,4.4,5.15,6.7,7.45,8.45,9.35,9.35,10.55,11.5,12.3,13.35,14.6,15.15,15.6,16.5,17.35,18.05,18.7,19.6,20.25,20.75,21.7,22.3,22.75,23.3,24.0,24.0,24.6,25.25,25.7,26.3,27.0,27.55,28.4,28.9,29.35,30.1,30.6,31.2,31.65,32.2,32.65,33.15,33.75,34.3,34.6,34.6,35.15,35.4,35.7,36.1,36.35,36.55,36.8,37.3,37.55,37.9,38.3,38.95,39.3,39.85,40.2,40.75,41.1,41.35,41.7,42.05,42.05,42.35,42.95,43.2,43.9,44.35,44.8,45.2,45.6,46.05,46.55,47.1,47.75,48.2,48.65,49.2,49.55,49.8,50.0,50.0,50.25,50.65,51.0,51.5,51.85,52.2,52.7,53.2,53.7,54.15,54.6,54.85,55.15,55.65,56.0,56.55,56.95,57.35,57.55,57.55,58.0,58.4,59.05,59.5,60.05,60.35,60.65,61.05,61.5,61.75,62.1,62.45,63.0,63.4,64.15,64.6,64.8,65.1,65.6,65.6,66.25,66.8,67.3,67.45,67.8,68.7,69.3,70.05,70.55,71.2,71.7,72.4,73.0,73.3,73.85,74.95,75.55,75.9,76.35,76.35,76.95,77.6,78.3,79.25,79.7,80.2,80.6,81.25,81.8,82.5,83.05,83.8,84.65,85.8,86.9,88.0,88.85,89.85,90.65,91.45,91.45,92.35,93.55,94.7,96.0,97.15,97.7,98.3,98.85,99.3,99.45,99.65,99.85,99.95,100.0,100.0,100.0,100.0,100.0,100.0,100.0
auc,0.919491625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
