,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201
tpr,0.0,12.9,22.4,22.4,29.4,33.9,33.9,37.6,37.6,41.0,43.0,43.0,45.5,45.5,46.8,46.8,48.6,50.0,50.0,50.7,50.7,51.8,53.1,53.1,53.7,53.7,54.8,55.3,55.3,55.8,55.8,56.3,56.8,56.8,57.4,57.9,57.9,58.3,58.3,58.6,58.6,58.9,59.3,59.3,59.5,59.5,59.8,59.9,59.9,60.0,60.0,60.3,60.4,60.4,60.4,60.5,60.5,60.6,60.6,60.9,60.9,61.1,61.4,61.4,61.5,61.5,61.5,61.6,61.6,61.7,61.7,61.7,61.7,61.7,61.8,61.8,61.9,62.3,62.3,62.5,63.0,63.0,63.2,63.2,63.5,63.5,63.5,63.6,63.6,63.6,63.6,63.7,63.9,63.9,63.9,63.9,64.4,64.4,64.4,64.5,64.5,64.5,64.6,64.6,64.7,64.9,64.9,65.2,65.2,65.4,65.5,65.5,65.6,65.6,65.7,65.7,66.0,66.0,66.0,66.0,66.0,66.0,66.1,66.1,66.1,66.1,66.1,66.1,66.1,66.4,66.6,66.6,66.9,66.9,67.2,67.7,67.7,68.0,68.0,68.2,68.2,68.6,68.7,68.7,68.9,68.9,69.2,69.5,69.5,69.8,69.8,70.2,70.6,70.6,70.8,71.1,71.1,71.3,71.3,71.4,71.7,71.7,72.1,72.1,72.5,72.5,72.9,73.3,73.3,73.3,73.3,73.9,74.1,74.1,74.9,74.9,75.3,76.0,76.0,76.9,77.7,77.7,78.6,78.6,78.9,80.0,80.0,81.9,81.9,83.3,83.3,84.8,87.0,87.0,87.8,87.8,90.3,93.1,93.1,96.6,96.6,100.0
fpr,0.0,8.0,14.3,14.3,19.3,23.2,23.2,25.1,25.1,27.2,29.7,29.7,31.5,31.5,33.2,33.2,34.5,35.5,35.5,36.1,36.1,36.7,37.5,37.5,38.4,38.4,39.1,39.7,39.7,40.8,40.8,41.2,42.2,42.2,42.8,43.4,43.4,44.1,44.1,44.4,44.4,44.5,44.5,44.5,44.6,44.6,45.1,45.2,45.2,45.9,45.9,46.0,46.2,46.2,46.6,46.6,46.6,46.9,46.9,47.1,47.1,47.4,47.7,47.7,47.8,47.8,48.2,48.5,48.5,48.6,48.6,48.8,48.9,48.9,49.3,49.3,49.4,49.6,49.6,49.6,49.6,49.6,49.7,49.7,49.8,49.8,49.8,49.8,49.8,49.8,49.8,49.8,49.9,49.9,49.9,49.9,50.2,50.3,50.3,50.5,50.5,50.6,50.6,50.6,50.7,50.8,50.8,50.8,50.8,50.8,50.9,50.9,50.9,50.9,50.9,50.9,51.0,51.2,51.2,51.2,51.2,51.3,51.3,51.3,51.3,51.3,51.5,51.7,51.7,51.7,51.8,51.8,51.8,51.8,51.9,52.1,52.1,52.6,52.6,52.8,52.8,53.3,53.7,53.7,53.8,53.8,54.1,54.3,54.3,54.8,54.8,54.8,54.8,54.8,55.0,55.5,55.5,55.7,55.7,56.0,56.3,56.3,56.3,56.3,56.4,56.4,56.8,57.4,57.4,57.6,57.6,58.1,58.7,58.7,59.4,59.4,59.8,60.3,60.3,61.5,62.2,62.2,62.9,62.9,63.8,64.9,64.9,66.4,66.4,68.0,68.0,70.1,72.7,72.7,76.0,76.0,79.5,84.4,84.4,90.5,90.5,100.0
auc,0.6071320000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
