,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201
tpr,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,0.04,0.22,0.22,0.22,0.22,0.22,0.7,0.7,0.7,0.7,1.92,1.92,1.92,1.92,1.92,4.34,4.34,4.34,4.34,7.32,7.32,7.32,7.32,7.32,11.52,11.52,11.52,11.52,17.38,17.38,17.38,17.38,17.38,24.46,24.46,24.46,24.46,32.46,32.46,32.46,32.46,41.02,41.02,41.02,41.02,41.02,49.64,49.64,49.64,49.64,57.5,57.5,57.5,57.5,57.5,64.98,64.98,64.98,64.98,72.18,72.18,72.18,72.18,72.18,77.94,77.94,77.94,77.94,82.96,82.96,82.96,82.96,87.1,87.1,87.1,87.1,87.1,90.02,90.02,90.02,90.02,92.74,92.74,92.74,92.74,92.74,94.72,94.72,94.72,94.72,95.92,95.92,95.92,95.92,95.92,96.98,96.98,96.98,96.98,97.96,97.96,97.96,97.96,97.96,98.58,98.58,98.58,98.58,98.94,98.94,98.94,98.94,98.94,99.48,99.48,99.48,99.48,99.66,99.66,99.66,99.66,99.8,99.8,99.8,99.8,99.8,99.82,99.82,99.82,99.82,99.86,99.86,99.86,99.86,99.86,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.94,99.94,99.94,99.94,99.98,99.98,99.98,99.98,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
fpr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.02,0.02,0.02,0.08,0.08,0.08,0.08,0.18,0.18,0.18,0.18,0.18,0.32,0.32,0.32,0.32,0.56,0.56,0.56,0.56,0.56,0.98,0.98,0.98,0.98,1.72,1.72,1.72,1.72,2.52,2.52,2.52,2.52,2.52,3.9,3.9,3.9,3.9,5.82,5.82,5.82,5.82,5.82,8.26,8.26,8.26,8.26,11.18,11.18,11.18,11.18,11.18,15.06,15.06,15.06,15.06,19.38,19.38,19.38,19.38,24.66,24.66,24.66,24.66,24.66,29.98,29.98,29.98,29.98,36.18,36.18,36.18,36.18,36.18,42.66,42.66,42.66,42.66,49.58,49.58,49.58,49.58,49.58,56.14,56.14,56.14,56.14,62.42,62.42,62.42,62.42,62.42,69.46,69.46,69.46,69.46,74.96,74.96,74.96,74.96,74.96,79.84,79.84,79.84,79.84,84.32,84.32,84.32,84.32,88.06,88.06,88.06,88.06,88.06,91.1,91.1,91.1,91.1,93.52,93.52,93.52,93.52,93.52,95.08,95.08,95.08,95.08,96.6,96.6,96.6,96.6,96.6,97.94,97.94,97.94,97.94,98.78,98.78,98.78,98.78,99.26,99.26,99.26,99.26,99.26,99.66,99.66,99.66,99.66,99.8,99.8,99.8,99.8,99.8,99.94,99.94,99.94,99.94,99.98,99.98,99.98,99.98,99.98,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
auc,0.8947910200000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
