,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201
tpr,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.18,0.3,0.42,0.9,1.68,3.18,5.04,7.78,11.18,14.84,19.2,24.2,29.16,29.16,34.92,40.14,45.46,50.8,56.48,61.56,66.32,70.82,74.5,78.08,81.02,83.68,85.7,87.66,88.96,90.38,91.92,93.02,94.04,94.04,94.7,95.42,96.06,96.68,97.12,97.6,97.92,98.26,98.5,98.66,98.92,99.06,99.16,99.2,99.28,99.34,99.36,99.4,99.44,99.44,99.46,99.52,99.66,99.74,99.76,99.76,99.84,99.88,99.88,99.9,99.9,99.9,99.92,99.92,99.92,99.96,99.96,99.96,99.96,99.96,99.96,99.98,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
fpr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.08,0.14,0.14,0.14,0.14,0.16,0.16,0.16,0.18,0.2,0.22,0.24,0.24,0.28,0.36,0.38,0.42,0.54,0.6,0.68,0.76,0.86,0.96,0.96,1.08,1.26,1.42,1.58,1.74,2.02,2.4,2.54,2.78,3.12,3.46,3.98,4.4,4.88,5.4,5.88,6.32,6.88,7.4,7.4,7.84,8.38,9.04,9.82,10.8,11.66,12.34,13.12,14.24,15.28,16.4,17.32,18.06,19.06,20.32,21.4,22.38,23.58,24.82,26.16,26.16,27.3,28.72,29.94,31.24,32.4,33.66,35.02,36.58,37.66,38.88,40.38,41.72,43.18,44.52,46.08,47.34,48.58,50.14,50.14,51.58,52.72,54.32,55.72,57.34,58.38,59.42,60.74,62.18,63.38,64.72,66.18,67.52,68.72,70.06,71.36,72.4,73.38,74.58,74.58,75.84,77.18,78.02,79.16,80.08,80.86,81.96,82.74,83.86,84.68,85.48,86.3,87.16,88.06,89.16,89.9,90.38,90.94,91.58,91.58,92.32,92.8,93.42,94.12,94.48,94.98,95.48,96.0,96.42,96.74,97.16,97.38,97.64,97.88,98.1,98.32,98.56,98.82,99.0,99.0,99.12,99.2,99.3,99.36,99.36,99.4,99.44,99.48,99.56,99.62,99.66,99.7,99.72,99.72,99.72,99.76,99.8,99.86,99.86,99.88,99.88,99.9,99.92,99.92,99.92,99.96,99.98,99.98,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
auc,0.9963162400000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
