,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201
tpr,0.0,0.1,0.1,0.1,0.1,0.3,0.3,0.3,0.3,1.1,1.1,1.1,1.1,1.1,1.9,1.9,1.9,1.9,2.7,2.7,2.7,2.7,2.7,4.3,4.3,4.3,4.3,6.2,6.2,6.2,6.2,6.2,11.0,11.0,11.0,11.0,15.4,15.4,15.4,15.4,15.4,19.8,19.8,19.8,19.8,26.2,26.2,26.2,26.2,34.1,34.1,34.1,34.1,34.1,40.2,40.2,40.2,40.2,45.1,45.1,45.1,45.1,45.1,51.3,51.3,51.3,51.3,58.2,58.2,58.2,58.2,58.2,63.1,63.1,63.1,63.1,68.3,68.3,68.3,68.3,73.3,73.3,73.3,73.3,73.3,77.8,77.8,77.8,77.8,81.5,81.5,81.5,81.5,81.5,84.5,84.5,84.5,84.5,87.8,87.8,87.8,87.8,87.8,90.2,90.2,90.2,90.2,91.8,91.8,91.8,91.8,91.8,94.2,94.2,94.2,94.2,95.3,95.3,95.3,95.3,95.3,96.1,96.1,96.1,96.1,97.4,97.4,97.4,97.4,97.6,97.6,97.6,97.6,97.6,98.3,98.3,98.3,98.3,98.5,98.5,98.5,98.5,98.5,99.1,99.1,99.1,99.1,99.5,99.5,99.5,99.5,99.5,99.7,99.7,99.7,99.7,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.9,99.9,99.9,99.9,99.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
fpr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.4,0.4,0.7,0.7,0.7,0.7,0.7,1.3,1.3,1.3,1.3,1.7,1.7,1.7,1.7,1.7,2.5,2.5,2.5,2.5,3.3,3.3,3.3,3.3,3.3,4.6,4.6,4.6,4.6,5.9,5.9,5.9,5.9,7.1,7.1,7.1,7.1,7.1,8.9,8.9,8.9,8.9,10.8,10.8,10.8,10.8,10.8,12.7,12.7,12.7,12.7,16.4,16.4,16.4,16.4,16.4,20.4,20.4,20.4,20.4,24.6,24.6,24.6,24.6,27.9,27.9,27.9,27.9,27.9,32.6,32.6,32.6,32.6,37.8,37.8,37.8,37.8,37.8,42.2,42.2,42.2,42.2,48.2,48.2,48.2,48.2,48.2,52.5,52.5,52.5,52.5,58.5,58.5,58.5,58.5,58.5,63.3,63.3,63.3,63.3,68.2,68.2,68.2,68.2,68.2,72.0,72.0,72.0,72.0,76.4,76.4,76.4,76.4,79.8,79.8,79.8,79.8,79.8,84.3,84.3,84.3,84.3,87.8,87.8,87.8,87.8,87.8,90.3,90.3,90.3,90.3,93.1,93.1,93.1,93.1,93.1,94.6,94.6,94.6,94.6,95.5,95.5,95.5,95.5,96.4,96.4,96.4,96.4,96.4,97.4,97.4,97.4,97.4,98.4,98.4,98.4,98.4,98.4,99.1,99.1,99.1,99.1,99.3,99.3,99.3,99.3,99.3,99.7,99.7,99.7,99.7,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,100.0,100.0
auc,0.7916555000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
