,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201
tpr,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.6,0.6,0.6,1.7,1.7,1.7,4.2,4.2,4.2,7.3,7.3,7.3,11.3,11.3,11.3,15.3,15.3,15.3,20.2,20.2,20.2,25.6,25.6,25.6,30.9,30.9,30.9,34.4,34.4,34.4,39.6,39.6,39.6,44.1,44.1,44.1,48.0,48.0,48.0,52.1,52.1,52.1,54.8,54.8,54.8,58.2,58.2,58.2,60.3,60.3,60.3,62.5,62.5,62.5,64.8,64.8,64.8,67.2,67.2,67.2,69.3,69.3,69.3,70.8,70.8,70.8,72.8,72.8,72.8,74.2,74.2,74.2,75.2,75.2,75.2,76.7,76.7,76.7,77.8,77.8,77.8,79.0,79.0,79.0,80.0,80.0,80.0,81.0,81.0,81.0,81.6,81.6,81.6,81.6,82.7,82.7,82.7,83.2,83.2,83.2,84.6,84.6,84.6,85.8,85.8,85.8,86.7,86.7,86.7,87.5,87.5,87.5,88.6,88.6,88.6,88.9,88.9,88.9,89.9,89.9,89.9,90.9,90.9,90.9,91.8,91.8,91.8,92.1,92.1,92.1,93.0,93.0,93.0,93.7,93.7,93.7,94.7,94.7,94.7,95.1,95.1,95.1,95.4,95.4,95.4,95.9,95.9,95.9,96.4,96.4,96.4,97.2,97.2,97.2,97.6,97.6,97.6,98.1,98.1,98.1,98.9,98.9,98.9,99.0,99.0,99.0,99.5,99.5,99.5,99.7,99.7,99.7,99.7,99.7,99.7,99.8,99.8,99.8,99.9,99.9,99.9,99.9,99.9,99.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
fpr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.4,0.4,0.4,0.8,0.8,0.8,1.9,1.9,1.9,3.2,3.2,3.2,5.6,5.6,5.6,7.6,7.6,7.6,8.6,8.6,8.6,10.9,10.9,10.9,12.8,12.8,12.8,14.9,14.9,14.9,16.9,16.9,16.9,19.5,19.5,19.5,20.9,20.9,20.9,22.9,22.9,22.9,24.3,24.3,24.3,25.9,25.9,25.9,27.3,27.3,27.3,29.1,29.1,29.1,30.9,30.9,30.9,33.1,33.1,33.1,34.5,34.5,34.5,35.9,35.9,35.9,37.3,37.3,37.3,38.6,38.6,38.6,39.6,39.6,39.6,41.6,41.6,41.6,43.7,43.7,43.7,45.0,45.0,45.0,46.1,46.1,46.1,46.1,49.9,49.9,49.9,51.6,51.6,51.6,53.3,53.3,53.3,54.9,54.9,54.9,56.6,56.6,56.6,58.6,58.6,58.6,59.8,59.8,59.8,62.0,62.0,62.0,63.9,63.9,63.9,65.9,65.9,65.9,67.3,67.3,67.3,68.8,68.8,68.8,70.7,70.7,70.7,72.7,72.7,72.7,74.4,74.4,74.4,76.2,76.2,76.2,77.7,77.7,77.7,79.0,79.0,79.0,80.1,80.1,80.1,81.8,81.8,81.8,84.2,84.2,84.2,86.6,86.6,86.6,88.7,88.7,88.7,90.8,90.8,90.8,93.1,93.1,93.1,94.3,94.3,94.3,96.3,96.3,96.3,97.9,97.9,97.9,99.2,99.2,99.2,99.7,99.7,99.7,99.9,99.9,99.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
auc,0.7459684999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
