,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201
tpr,0.0,11.4,19.4,19.4,26.2,33.0,33.0,36.9,36.9,39.8,43.4,43.4,44.4,44.4,46.1,46.1,47.5,48.6,48.6,50.0,50.0,50.9,51.5,51.5,52.1,52.1,53.1,54.3,54.3,54.7,54.7,55.3,56.1,56.1,56.5,57.3,57.3,57.6,57.6,58.1,58.1,58.4,58.7,58.7,59.2,59.2,59.6,59.9,59.9,60.4,60.4,60.5,60.8,60.8,61.2,61.4,61.4,61.6,61.6,61.7,61.7,62.0,62.1,62.1,62.2,62.2,62.4,62.6,62.6,62.8,62.8,63.0,63.2,63.2,63.3,63.3,63.5,63.6,63.6,63.7,64.0,64.0,64.2,64.2,64.3,64.6,64.6,64.7,64.7,64.7,64.7,65.0,65.4,65.4,65.6,65.6,65.7,65.8,65.8,65.8,65.8,66.0,66.1,66.1,66.1,66.4,66.4,66.5,66.5,66.9,67.3,67.3,67.3,67.3,67.4,67.4,67.8,68.1,68.1,68.2,68.2,68.2,68.6,68.6,68.6,68.6,68.7,69.1,69.1,69.1,69.3,69.3,69.5,69.5,69.7,69.8,69.8,69.9,69.9,70.3,70.3,70.6,70.6,70.6,71.0,71.0,71.1,71.7,71.7,71.8,71.8,72.0,72.0,72.0,72.5,73.0,73.0,73.5,73.5,73.8,74.2,74.2,74.5,74.5,75.0,75.0,75.6,75.8,75.8,76.2,76.2,76.7,77.1,77.1,77.8,77.8,78.5,79.5,79.5,80.5,81.5,81.5,82.1,82.1,83.6,84.5,84.5,85.8,85.8,87.6,87.6,88.9,90.1,90.1,91.6,91.6,93.4,96.2,96.2,98.8,98.8,100.0
fpr,0.0,6.7,13.5,13.5,18.7,23.4,23.4,26.4,26.4,28.5,30.4,30.4,31.5,31.5,32.7,32.7,34.3,35.4,35.4,36.6,36.6,37.3,38.0,38.0,38.9,38.9,39.6,40.5,40.5,41.2,41.2,41.4,41.9,41.9,42.5,43.0,43.0,43.4,43.4,43.5,43.5,43.9,44.2,44.2,44.5,44.5,44.6,44.6,44.6,44.9,44.9,45.3,45.6,45.6,45.8,45.9,45.9,45.9,45.9,46.2,46.2,46.5,46.5,46.5,46.8,46.8,46.9,46.9,46.9,47.1,47.1,47.1,47.1,47.1,47.2,47.2,47.2,47.3,47.3,47.5,47.8,47.8,47.8,47.8,48.2,48.3,48.3,48.3,48.3,48.3,48.3,48.3,48.3,48.3,48.3,48.3,48.5,48.6,48.6,48.8,48.8,49.0,49.2,49.2,49.2,49.3,49.3,49.5,49.5,49.6,49.7,49.7,49.7,49.7,49.9,49.9,50.0,50.1,50.1,50.3,50.3,50.3,50.5,50.5,50.7,50.7,50.7,50.8,50.8,51.0,51.1,51.1,51.2,51.2,51.4,51.5,51.5,51.9,51.9,52.0,52.0,52.2,52.5,52.5,52.8,52.8,52.9,53.1,53.1,53.3,53.3,53.7,54.1,54.1,54.6,55.0,55.0,55.2,55.2,55.6,56.3,56.3,56.6,56.6,57.1,57.1,57.8,58.1,58.1,58.5,58.5,58.9,59.8,59.8,60.2,60.2,60.8,61.9,61.9,63.1,64.1,64.1,65.3,65.3,66.2,67.6,67.6,69.7,69.7,72.2,72.2,74.6,76.6,76.6,79.8,79.8,83.5,88.3,88.3,94.4,94.4,100.0
auc,0.6105015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
