,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201
tpr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,0.04,0.06,0.06,0.06,0.06,0.06,0.2,0.2,0.2,0.2,0.42,0.42,0.42,0.42,0.42,1.0,1.0,1.0,1.0,1.96,1.96,1.96,1.96,1.96,3.3,3.3,3.3,3.3,5.7,5.7,5.7,5.7,8.14,8.14,8.14,8.14,8.14,12.1,12.1,12.1,12.1,16.8,16.8,16.8,16.8,16.8,21.52,21.52,21.52,21.52,27.6,27.6,27.6,27.6,27.6,34.76,34.76,34.76,34.76,41.92,41.92,41.92,41.92,48.62,48.62,48.62,48.62,48.62,55.72,55.72,55.72,55.72,63.08,63.08,63.08,63.08,63.08,69.56,69.56,69.56,69.56,75.66,75.66,75.66,75.66,75.66,80.82,80.82,80.82,80.82,84.96,84.96,84.96,84.96,84.96,88.28,88.28,88.28,88.28,91.68,91.68,91.68,91.68,91.68,93.8,93.8,93.8,93.8,95.5,95.5,95.5,95.5,96.9,96.9,96.9,96.9,96.9,97.94,97.94,97.94,97.94,98.64,98.64,98.64,98.64,98.64,99.24,99.24,99.24,99.24,99.56,99.56,99.56,99.56,99.56,99.8,99.8,99.8,99.8,99.96,99.96,99.96,99.96,99.96,99.96,99.96,99.96,99.96,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
fpr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.08,0.08,0.08,0.08,0.22,0.22,0.22,0.22,0.42,0.42,0.42,0.42,0.42,0.8,0.8,0.8,0.8,1.36,1.36,1.36,1.36,2.12,2.12,2.12,2.12,2.12,3.5,3.5,3.5,3.5,5.0,5.0,5.0,5.0,5.0,7.56,7.56,7.56,7.56,10.38,10.38,10.38,10.38,10.38,13.72,13.72,13.72,13.72,18.18,18.18,18.18,18.18,23.7,23.7,23.7,23.7,23.7,29.76,29.76,29.76,29.76,36.42,36.42,36.42,36.42,36.42,42.68,42.68,42.68,42.68,49.68,49.68,49.68,49.68,49.68,56.54,56.54,56.54,56.54,63.3,63.3,63.3,63.3,63.3,69.16,69.16,69.16,69.16,75.14,75.14,75.14,75.14,75.14,80.38,80.38,80.38,80.38,85.2,85.2,85.2,85.2,89.28,89.28,89.28,89.28,89.28,92.38,92.38,92.38,92.38,94.54,94.54,94.54,94.54,94.54,96.5,96.5,96.5,96.5,97.88,97.88,97.88,97.88,97.88,98.9,98.9,98.9,98.9,99.28,99.28,99.28,99.28,99.66,99.66,99.66,99.66,99.66,99.82,99.82,99.82,99.82,99.92,99.92,99.92,99.92,99.92,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
auc,0.6857774600000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
