,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201
tpr,0.0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.75,0.75,0.75,0.75,0.75,0.75,0.75,1.9,1.9,1.9,1.9,1.9,1.9,1.9,3.95,3.95,3.95,3.95,3.95,3.95,3.95,6.85,6.85,6.85,6.85,6.85,6.85,6.85,11.1,11.1,11.1,11.1,11.1,11.1,11.1,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,32.2,32.2,32.2,32.2,32.2,32.2,32.2,41.1,41.1,41.1,41.1,41.1,41.1,41.1,50.55,50.55,50.55,50.55,50.55,50.55,50.55,59.15,59.15,59.15,59.15,59.15,59.15,59.15,68.05,68.05,68.05,68.05,68.05,68.05,68.05,75.35,75.35,75.35,75.35,75.35,75.35,75.35,75.35,80.9,80.9,80.9,80.9,80.9,80.9,80.9,85.15,85.15,85.15,85.15,85.15,85.15,85.15,88.95,88.95,88.95,88.95,88.95,88.95,88.95,92.25,92.25,92.25,92.25,92.25,92.25,92.25,95.0,95.0,95.0,95.0,95.0,95.0,95.0,96.75,96.75,96.75,96.75,96.75,96.75,96.75,97.7,97.7,97.7,97.7,97.7,97.7,97.7,98.7,98.7,98.7,98.7,98.7,98.7,98.7,98.7,99.2,99.2,99.2,99.2,99.2,99.2,99.2,99.55,99.55,99.55,99.55,99.55,99.55,99.55,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.95,99.95,99.95,99.95,99.95,99.95,99.95,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
fpr,0.0,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.7,0.7,0.7,0.7,0.7,0.7,0.7,1.45,1.45,1.45,1.45,1.45,1.45,1.45,2.2,2.2,2.2,2.2,2.2,2.2,2.2,3.6,3.6,3.6,3.6,3.6,3.6,3.6,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,8.7,8.7,8.7,8.7,8.7,8.7,8.7,12.55,12.55,12.55,12.55,12.55,12.55,12.55,16.95,16.95,16.95,16.95,16.95,16.95,16.95,22.85,22.85,22.85,22.85,22.85,22.85,22.85,28.6,28.6,28.6,28.6,28.6,28.6,28.6,36.3,36.3,36.3,36.3,36.3,36.3,36.3,45.8,45.8,45.8,45.8,45.8,45.8,45.8,45.8,53.85,53.85,53.85,53.85,53.85,53.85,53.85,62.2,62.2,62.2,62.2,62.2,62.2,62.2,69.4,69.4,69.4,69.4,69.4,69.4,69.4,76.3,76.3,76.3,76.3,76.3,76.3,76.3,83.1,83.1,83.1,83.1,83.1,83.1,83.1,88.0,88.0,88.0,88.0,88.0,88.0,88.0,91.75,91.75,91.75,91.75,91.75,91.75,91.75,94.7,94.7,94.7,94.7,94.7,94.7,94.7,94.7,96.85,96.85,96.85,96.85,96.85,96.85,96.85,98.2,98.2,98.2,98.2,98.2,98.2,98.2,99.2,99.2,99.2,99.2,99.2,99.2,99.2,99.55,99.55,99.55,99.55,99.55,99.55,99.55,99.85,99.85,99.85,99.85,99.85,99.85,99.85,99.95,99.95,99.95,99.95,99.95,99.95,99.95,100.0,100.0
auc,0.7000007500000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
