,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201
tpr,0.0,27.5,27.5,27.5,27.5,36.8,36.8,36.8,36.8,41.9,41.9,41.9,41.9,41.9,45.3,45.3,45.3,45.3,47.0,47.0,47.0,47.0,47.0,48.0,48.0,48.0,48.0,49.6,49.6,49.6,49.6,49.6,50.5,50.5,50.5,50.5,51.0,51.0,51.0,51.0,51.0,51.9,51.9,51.9,51.9,52.5,52.5,52.5,52.5,53.2,53.2,53.2,53.2,53.2,53.6,53.6,53.6,53.6,54.0,54.0,54.0,54.0,54.0,54.4,54.4,54.4,54.4,54.7,54.7,54.7,54.7,54.7,55.2,55.2,55.2,55.2,55.7,55.7,55.7,55.7,56.0,56.0,56.0,56.0,56.0,56.4,56.4,56.4,56.4,56.7,56.7,56.7,56.7,56.7,57.0,57.0,57.0,57.0,57.3,57.3,57.3,57.3,57.3,57.6,57.6,57.6,57.6,57.9,57.9,57.9,57.9,57.9,58.2,58.2,58.2,58.2,58.7,58.7,58.7,58.7,58.7,58.9,58.9,58.9,58.9,59.2,59.2,59.2,59.2,59.7,59.7,59.7,59.7,59.7,60.3,60.3,60.3,60.3,60.5,60.5,60.5,60.5,60.5,61.1,61.1,61.1,61.1,61.6,61.6,61.6,61.6,61.6,62.0,62.0,62.0,62.0,62.6,62.6,62.6,62.6,63.8,63.8,63.8,63.8,63.8,64.7,64.7,64.7,64.7,66.1,66.1,66.1,66.1,66.1,67.5,67.5,67.5,67.5,68.9,68.9,68.9,68.9,68.9,70.4,70.4,70.4,70.4,73.5,73.5,73.5,73.5,73.5,76.6,76.6,76.6,76.6,84.4,84.4,84.4,84.4,100.0,100.0
fpr,0.0,21.9,21.9,21.9,21.9,31.7,31.7,31.7,31.7,34.8,34.8,34.8,34.8,34.8,37.8,37.8,37.8,37.8,39.8,39.8,39.8,39.8,39.8,41.4,41.4,41.4,41.4,43.1,43.1,43.1,43.1,43.1,44.1,44.1,44.1,44.1,44.7,44.7,44.7,44.7,44.7,45.3,45.3,45.3,45.3,45.7,45.7,45.7,45.7,46.1,46.1,46.1,46.1,46.1,46.2,46.2,46.2,46.2,46.8,46.8,46.8,46.8,46.8,47.0,47.0,47.0,47.0,47.7,47.7,47.7,47.7,47.7,48.2,48.2,48.2,48.2,48.4,48.4,48.4,48.4,48.4,48.4,48.4,48.4,48.4,48.6,48.6,48.6,48.6,48.8,48.8,48.8,48.8,48.8,49.3,49.3,49.3,49.3,49.6,49.6,49.6,49.6,49.6,49.8,49.8,49.8,49.8,50.0,50.0,50.0,50.0,50.0,50.1,50.1,50.1,50.1,50.5,50.5,50.5,50.5,50.5,51.0,51.0,51.0,51.0,51.2,51.2,51.2,51.2,51.5,51.5,51.5,51.5,51.5,51.7,51.7,51.7,51.7,52.0,52.0,52.0,52.0,52.0,52.1,52.1,52.1,52.1,52.6,52.6,52.6,52.6,52.6,53.2,53.2,53.2,53.2,53.7,53.7,53.7,53.7,54.2,54.2,54.2,54.2,54.2,54.7,54.7,54.7,54.7,55.7,55.7,55.7,55.7,55.7,58.0,58.0,58.0,58.0,59.6,59.6,59.6,59.6,59.6,61.9,61.9,61.9,61.9,64.8,64.8,64.8,64.8,64.8,69.1,69.1,69.1,69.1,76.8,76.8,76.8,76.8,100.0,100.0
auc,0.5555674999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
