,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201
tpr,0.0,9.4,9.4,9.4,9.4,19.5,19.5,19.5,19.5,26.4,26.4,26.4,26.4,26.4,32.5,32.5,32.5,32.5,36.1,36.1,36.1,36.1,36.1,39.1,39.1,39.1,39.1,41.1,41.1,41.1,41.1,41.1,43.9,43.9,43.9,43.9,45.9,45.9,45.9,45.9,45.9,47.9,47.9,47.9,47.9,49.2,49.2,49.2,49.2,50.4,50.4,50.4,50.4,50.4,51.3,51.3,51.3,51.3,52.5,52.5,52.5,52.5,52.5,53.4,53.4,53.4,53.4,54.1,54.1,54.1,54.1,54.1,54.8,54.8,54.8,54.8,55.3,55.3,55.3,55.3,55.8,55.8,55.8,55.8,55.8,57.3,57.3,57.3,57.3,58.2,58.2,58.2,58.2,58.2,58.9,58.9,58.9,58.9,59.2,59.2,59.2,59.2,59.2,59.5,59.5,59.5,59.5,59.9,59.9,59.9,59.9,59.9,60.5,60.5,60.5,60.5,60.8,60.8,60.8,60.8,60.8,61.4,61.4,61.4,61.4,61.6,61.6,61.6,61.6,61.8,61.8,61.8,61.8,61.8,62.7,62.7,62.7,62.7,63.2,63.2,63.2,63.2,63.2,63.6,63.6,63.6,63.6,64.7,64.7,64.7,64.7,64.7,66.1,66.1,66.1,66.1,67.1,67.1,67.1,67.1,68.4,68.4,68.4,68.4,68.4,69.7,69.7,69.7,69.7,71.2,71.2,71.2,71.2,71.2,73.0,73.0,73.0,73.0,75.9,75.9,75.9,75.9,75.9,78.8,78.8,78.8,78.8,82.8,82.8,82.8,82.8,82.8,87.6,87.6,87.6,87.6,93.8,93.8,93.8,93.8,100.0,100.0
fpr,0.0,7.1,7.1,7.1,7.1,14.5,14.5,14.5,14.5,22.8,22.8,22.8,22.8,22.8,27.5,27.5,27.5,27.5,31.3,31.3,31.3,31.3,31.3,34.0,34.0,34.0,34.0,36.3,36.3,36.3,36.3,36.3,37.8,37.8,37.8,37.8,39.1,39.1,39.1,39.1,39.1,40.6,40.6,40.6,40.6,41.6,41.6,41.6,41.6,42.6,42.6,42.6,42.6,42.6,44.1,44.1,44.1,44.1,45.2,45.2,45.2,45.2,45.2,45.8,45.8,45.8,45.8,46.4,46.4,46.4,46.4,46.4,47.2,47.2,47.2,47.2,47.4,47.4,47.4,47.4,48.3,48.3,48.3,48.3,48.3,49.6,49.6,49.6,49.6,50.1,50.1,50.1,50.1,50.1,50.9,50.9,50.9,50.9,51.2,51.2,51.2,51.2,51.2,51.4,51.4,51.4,51.4,51.8,51.8,51.8,51.8,51.8,52.8,52.8,52.8,52.8,53.6,53.6,53.6,53.6,53.6,54.4,54.4,54.4,54.4,55.0,55.0,55.0,55.0,55.5,55.5,55.5,55.5,55.5,56.3,56.3,56.3,56.3,57.4,57.4,57.4,57.4,57.4,57.6,57.6,57.6,57.6,58.4,58.4,58.4,58.4,58.4,59.4,59.4,59.4,59.4,60.7,60.7,60.7,60.7,61.2,61.2,61.2,61.2,61.2,63.0,63.0,63.0,63.0,64.4,64.4,64.4,64.4,64.4,66.9,66.9,66.9,66.9,69.6,69.6,69.6,69.6,69.6,73.0,73.0,73.0,73.0,77.6,77.6,77.6,77.6,77.6,82.8,82.8,82.8,82.8,89.8,89.8,89.8,89.8,100.0,100.0
auc,0.5488179999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
