,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201
tpr,0.0,0.0,0.1,0.4,1.1,3.1,5.1,8.7,14.4,19.7,25.5,31.0,38.3,44.5,50.1,55.0,59.4,62.4,65.9,68.5,68.5,70.7,72.4,75.0,75.7,76.5,77.2,78.3,79.1,80.6,81.8,82.5,83.0,83.4,84.1,85.4,85.7,86.0,86.8,87.3,87.3,87.7,88.3,89.1,89.8,90.0,90.4,90.5,91.0,91.5,91.7,91.8,92.1,92.5,92.7,92.9,93.2,93.6,93.8,93.8,93.8,93.9,94.0,94.1,94.3,94.5,94.7,95.0,95.3,95.5,95.8,96.3,96.5,96.6,96.6,96.7,97.1,97.2,97.5,97.8,98.0,98.0,98.1,98.2,98.4,98.7,99.1,99.1,99.5,99.6,99.8,99.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
fpr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.2,0.3,0.5,0.6,0.7,1.2,1.7,2.5,3.5,4.7,4.7,5.6,6.8,7.5,8.6,9.7,10.7,12.1,13.4,14.4,15.5,16.1,16.9,17.8,18.5,19.3,20.0,20.5,21.4,22.2,22.2,23.0,23.8,24.4,24.9,25.5,26.1,26.7,27.0,27.0,27.4,28.0,28.5,29.0,29.6,30.0,30.4,31.0,31.8,32.0,32.0,32.1,33.1,33.5,33.9,34.6,35.0,35.4,35.7,36.4,36.7,37.2,37.9,38.0,38.8,39.6,40.2,40.6,41.0,41.5,42.0,42.0,42.3,42.7,43.4,43.7,43.9,44.4,45.1,45.6,46.0,46.4,47.4,47.9,48.7,49.2,49.9,50.2,50.7,51.3,51.3,52.6,52.9,53.1,53.5,53.8,54.9,55.3,55.8,56.5,56.9,57.5,57.9,58.4,59.2,59.6,60.0,60.5,60.7,60.7,60.7,61.1,61.7,61.9,62.3,63.0,63.2,64.0,64.4,65.1,65.7,66.2,66.6,67.0,67.1,67.6,68.1,68.1,68.5,69.2,69.2,69.9,70.2,70.5,70.8,71.2,71.9,72.2,72.8,73.3,73.9,74.0,74.6,75.2,75.7,76.0,76.6,77.2,78.3,78.8,78.8,79.4,79.9,80.6,81.2,82.3,82.7,83.7,84.9,85.7,86.0,87.1,87.4,88.2,89.2,90.1,91.2,92.3,93.1,94.4,95.0,95.0,95.7,97.0,97.6,98.1,98.4,99.0,99.3,99.7,99.8,99.9,99.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
auc,0.9305470000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
