,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201
tpr,0.0,0.1,0.4,1.2,2.9,2.9,7.2,12.5,18.0,18.0,24.4,31.0,36.3,36.3,42.6,48.5,53.6,58.7,58.7,62.8,65.8,68.3,68.3,70.4,72.2,73.7,73.7,75.3,76.6,78.0,78.0,79.0,80.4,81.0,81.5,81.5,82.3,83.0,83.6,83.6,84.2,84.7,85.0,85.0,85.5,86.1,86.4,86.4,86.9,87.2,87.6,88.0,88.0,88.5,88.6,88.8,88.8,88.9,89.3,89.5,89.5,89.6,90.4,90.6,90.6,91.0,91.3,91.7,92.2,92.2,92.6,93.2,93.3,93.3,93.6,93.8,93.9,93.9,94.1,94.3,94.6,94.6,94.8,95.1,95.6,95.6,95.6,96.1,96.4,96.6,96.6,96.7,97.0,97.1,97.1,97.3,97.5,97.5,97.5,98.0,98.1,98.2,98.2,98.2,98.5,98.6,99.0,99.0,99.3,99.4,99.5,99.5,99.7,99.8,99.8,99.8,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
fpr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.5,0.5,0.5,1.0,1.8,1.8,2.8,3.7,5.2,6.1,6.1,7.6,9.5,10.8,10.8,11.9,12.8,13.6,13.6,15.0,15.7,16.4,16.4,17.4,18.2,19.4,20.5,20.5,21.6,22.4,23.2,23.2,23.3,23.7,24.0,24.0,24.6,24.9,25.3,25.3,25.7,26.9,27.3,27.9,27.9,28.4,28.6,28.7,28.7,29.1,29.8,30.4,30.4,30.6,31.1,31.6,31.6,32.3,32.8,33.2,33.8,33.8,34.6,35.2,36.1,36.1,36.5,36.8,37.3,37.3,37.5,38.3,38.7,38.7,39.4,40.2,40.9,41.2,41.2,41.8,42.4,42.9,42.9,43.5,44.3,44.9,44.9,45.4,45.9,46.6,46.6,47.1,47.5,48.1,48.7,48.7,49.2,49.7,50.5,50.5,51.1,51.8,52.6,52.6,53.2,53.6,54.4,54.4,55.1,55.7,56.3,56.9,56.9,57.5,57.9,58.3,58.3,58.6,58.8,59.0,59.0,59.7,59.9,60.2,60.2,61.2,61.8,62.4,62.8,62.8,63.7,64.7,65.4,65.4,66.0,66.4,67.0,67.0,67.5,68.5,69.4,69.4,70.1,70.7,70.8,71.4,71.4,72.2,72.9,73.5,73.5,74.3,74.9,75.8,75.8,76.4,77.5,78.3,78.3,79.0,80.1,81.0,81.7,81.7,82.9,83.8,84.8,84.8,86.2,87.6,88.9,88.9,90.8,92.1,93.4,93.4,94.9,96.0,97.1,98.0,98.0,98.8,99.3,99.6,99.6,99.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
auc,0.9004060000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
