,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201
tpr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.3,0.3,0.7,0.7,0.7,1.1,1.1,1.6,1.6,1.9,1.9,2.6,2.6,4.2,4.2,4.2,5.5,5.5,7.8,7.8,11.4,11.4,14.8,14.8,20.2,20.2,20.2,25.4,25.4,30.5,30.5,36.1,36.1,41.3,41.3,46.1,46.1,46.1,50.9,50.9,57.3,57.3,63.4,63.4,68.4,68.4,72.3,72.3,72.3,76.2,76.2,80.0,80.0,82.2,82.2,84.9,84.9,87.8,87.8,87.8,90.4,90.4,91.7,91.7,93.9,93.9,95.3,95.3,96.5,96.5,96.5,97.1,97.1,97.6,97.6,98.0,98.0,98.3,98.3,98.9,98.9,98.9,99.2,99.2,99.5,99.5,99.6,99.6,99.7,99.7,99.7,99.7,99.7,99.8,99.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
fpr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.4,1.1,1.1,1.2,1.2,1.2,1.6,1.6,2.1,2.1,2.7,2.7,3.5,3.5,4.3,4.3,4.3,5.5,5.5,6.5,6.5,8.2,8.2,10.5,10.5,12.5,12.5,12.5,14.9,14.9,19.1,19.1,23.1,23.1,26.5,26.5,30.7,30.7,30.7,34.8,34.8,37.9,37.9,42.2,42.2,46.6,46.6,51.3,51.3,51.3,56.7,56.7,61.5,61.5,66.2,66.2,70.2,70.2,73.6,73.6,73.6,77.6,77.6,80.3,80.3,83.0,83.0,85.5,85.5,88.5,88.5,88.5,89.8,89.8,91.9,91.9,93.7,93.7,95.2,95.2,96.4,96.4,96.4,97.1,97.1,97.6,97.6,98.1,98.1,98.8,98.8,99.1,99.1,99.1,99.4,99.4,99.4,99.4,99.4,99.4,99.6,99.6,99.6,99.6,99.6,99.9,99.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
auc,0.9466655000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
