,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201
tpr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.6,0.6,0.6,0.6,0.6,2.9,2.9,2.9,2.9,2.9,2.9,2.9,6.2,6.2,6.2,6.2,6.2,6.2,6.2,13.8,13.8,13.8,13.8,13.8,13.8,13.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,34.2,34.2,34.2,34.2,34.2,34.2,34.2,34.2,46.8,46.8,46.8,46.8,46.8,46.8,46.8,57.6,57.6,57.6,57.6,57.6,57.6,57.6,67.3,67.3,67.3,67.3,67.3,67.3,67.3,77.6,77.6,77.6,77.6,77.6,77.6,77.6,84.3,84.3,84.3,84.3,84.3,84.3,84.3,89.7,89.7,89.7,89.7,89.7,89.7,89.7,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,96.1,96.1,96.1,96.1,96.1,96.1,96.1,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.5,98.5,98.5,98.5,98.5,98.5,98.5,99.1,99.1,99.1,99.1,99.1,99.1,99.1,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
fpr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.9,0.9,0.9,0.9,0.9,0.9,0.9,2.3,2.3,2.3,2.3,2.3,2.3,2.3,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,6.0,6.0,6.0,6.0,6.0,6.0,6.0,9.5,9.5,9.5,9.5,9.5,9.5,9.5,13.9,13.9,13.9,13.9,13.9,13.9,13.9,19.1,19.1,19.1,19.1,19.1,19.1,19.1,26.9,26.9,26.9,26.9,26.9,26.9,26.9,35.0,35.0,35.0,35.0,35.0,35.0,35.0,45.1,45.1,45.1,45.1,45.1,45.1,45.1,45.1,54.4,54.4,54.4,54.4,54.4,54.4,54.4,62.8,62.8,62.8,62.8,62.8,62.8,62.8,72.4,72.4,72.4,72.4,72.4,72.4,72.4,79.8,79.8,79.8,79.8,79.8,79.8,79.8,85.8,85.8,85.8,85.8,85.8,85.8,85.8,91.2,91.2,91.2,91.2,91.2,91.2,91.2,95.3,95.3,95.3,95.3,95.3,95.3,95.3,97.7,97.7,97.7,97.7,97.7,97.7,97.7,97.7,98.6,98.6,98.6,98.6,98.6,98.6,98.6,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.8,99.8,99.8,99.8,99.8,99.8,99.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
auc,0.8641969999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
