,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201
tpr,0.0,0.6,0.6,0.6,2.8,2.8,2.8,7.1,7.1,7.1,12.3,12.3,12.3,19.3,19.3,19.3,25.1,25.1,25.1,31.4,31.4,31.4,36.9,36.9,36.9,42.2,42.2,42.2,47.3,47.3,47.3,51.6,51.6,51.6,56.2,56.2,56.2,59.1,59.1,59.1,62.5,62.5,62.5,64.6,64.6,64.6,66.6,66.6,66.6,68.5,68.5,68.5,70.4,70.4,70.4,71.6,71.6,71.6,73.0,73.0,73.0,73.7,73.7,73.7,74.7,74.7,74.7,76.1,76.1,76.1,76.9,76.9,76.9,78.0,78.0,78.0,78.9,78.9,78.9,80.0,80.0,80.0,80.4,80.4,80.4,80.9,80.9,80.9,81.5,81.5,81.5,82.2,82.2,82.2,82.9,82.9,82.9,83.2,83.2,83.2,83.2,83.9,83.9,83.9,84.7,84.7,84.7,85.1,85.1,85.1,85.7,85.7,85.7,86.3,86.3,86.3,87.1,87.1,87.1,87.9,87.9,87.9,88.8,88.8,88.8,89.4,89.4,89.4,89.9,89.9,89.9,90.7,90.7,90.7,91.3,91.3,91.3,92.0,92.0,92.0,92.7,92.7,92.7,93.6,93.6,93.6,94.4,94.4,94.4,95.5,95.5,95.5,96.7,96.7,96.7,97.2,97.2,97.2,97.8,97.8,97.8,98.0,98.0,98.0,98.5,98.5,98.5,99.3,99.3,99.3,99.5,99.5,99.5,99.7,99.7,99.7,99.8,99.8,99.8,99.8,99.8,99.8,99.9,99.9,99.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
fpr,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.7,0.7,0.7,2.0,2.0,2.0,4.2,4.2,4.2,7.0,7.0,7.0,9.4,9.4,9.4,11.8,11.8,11.8,14.6,14.6,14.6,16.7,16.7,16.7,18.7,18.7,18.7,20.8,20.8,20.8,22.3,22.3,22.3,23.7,23.7,23.7,25.0,25.0,25.0,27.3,27.3,27.3,28.8,28.8,28.8,30.5,30.5,30.5,31.6,31.6,31.6,33.2,33.2,33.2,34.2,34.2,34.2,35.7,35.7,35.7,36.8,36.8,36.8,38.1,38.1,38.1,40.1,40.1,40.1,41.4,41.4,41.4,42.9,42.9,42.9,44.1,44.1,44.1,45.4,45.4,45.4,46.5,46.5,46.5,47.3,47.3,47.3,48.0,48.0,48.0,48.9,48.9,48.9,48.9,50.3,50.3,50.3,51.1,51.1,51.1,52.5,52.5,52.5,53.5,53.5,53.5,54.8,54.8,54.8,56.1,56.1,56.1,57.7,57.7,57.7,58.9,58.9,58.9,60.0,60.0,60.0,62.2,62.2,62.2,63.9,63.9,63.9,65.8,65.8,65.8,67.0,67.0,67.0,67.7,67.7,67.7,68.9,68.9,68.9,70.0,70.0,70.0,71.6,71.6,71.6,73.3,73.3,73.3,74.5,74.5,74.5,76.1,76.1,76.1,77.8,77.8,77.8,79.8,79.8,79.8,82.4,82.4,82.4,84.7,84.7,84.7,87.6,87.6,87.6,89.7,89.7,89.7,91.4,91.4,91.4,93.1,93.1,93.1,95.9,95.9,95.9,97.8,97.8,97.8,98.8,98.8,98.8,99.7,99.7,99.7,99.9,99.9,99.9,100.0,100.0
auc,0.7563565000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
