,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201
tpr,0.0,0.3,1.5,1.5,3.7,6.8,6.8,10.3,10.3,14.7,18.0,18.0,21.0,21.0,23.0,23.0,25.4,28.1,28.1,30.5,30.5,31.9,34.3,34.3,36.4,36.4,38.1,39.7,39.7,40.8,40.8,41.7,43.4,43.4,44.6,45.7,45.7,47.0,47.0,47.5,47.5,48.3,49.3,49.3,50.0,50.0,50.5,50.8,50.8,51.6,51.6,52.5,53.1,53.1,53.4,54.2,54.2,54.6,54.6,55.5,55.5,55.8,56.8,56.8,57.2,57.2,57.4,57.8,57.8,58.1,58.1,58.7,58.9,58.9,59.5,59.5,60.0,60.2,60.2,60.5,60.9,60.9,61.2,61.2,61.7,62.1,62.1,62.5,62.5,62.8,62.8,62.9,63.2,63.2,63.5,63.5,63.5,64.1,64.1,64.3,64.3,64.7,64.9,64.9,65.0,65.5,65.5,66.2,66.2,66.6,66.7,66.7,67.1,67.1,67.5,67.5,67.9,68.2,68.2,68.4,68.4,68.7,68.9,68.9,69.2,69.2,69.3,69.6,69.6,69.9,70.1,70.1,70.6,70.6,71.2,71.5,71.5,71.9,71.9,72.0,72.0,72.9,73.2,73.2,73.4,73.4,73.6,74.4,74.4,74.8,74.8,75.0,75.9,75.9,77.0,78.0,78.0,78.8,78.8,79.5,80.6,80.6,81.5,81.5,82.3,82.3,82.5,83.3,83.3,84.2,84.2,85.5,86.3,86.3,87.5,87.5,88.2,88.7,88.7,89.7,91.2,91.2,92.1,92.1,93.3,94.4,94.4,95.6,95.6,96.4,96.4,97.5,98.5,98.5,99.0,99.0,99.4,99.9,99.9,99.9,99.9,100.0
fpr,0.0,0.2,1.0,1.0,1.8,3.9,3.9,6.1,6.1,9.3,11.7,11.7,13.2,13.2,16.0,16.0,18.2,19.4,19.4,22.0,22.0,23.4,24.6,24.6,25.3,25.3,26.3,27.3,27.3,28.3,28.3,29.2,30.9,30.9,31.9,32.8,32.8,33.7,33.7,34.9,34.9,35.1,35.4,35.4,36.4,36.4,36.9,37.4,37.4,38.2,38.2,38.6,38.6,38.6,39.1,39.7,39.7,40.6,40.6,41.1,41.1,41.4,41.9,41.9,42.2,42.2,42.4,42.8,42.8,43.2,43.2,43.5,44.1,44.1,44.2,44.2,44.5,44.8,44.8,44.9,45.0,45.0,45.3,45.3,45.6,45.8,45.8,45.9,45.9,46.0,46.0,46.3,46.7,46.7,47.0,47.0,47.5,47.5,47.5,47.9,47.9,48.0,48.0,48.0,48.4,48.8,48.8,49.2,49.2,49.5,49.6,49.6,49.9,49.9,50.4,50.4,50.6,51.2,51.2,51.8,51.8,52.0,52.5,52.5,52.9,52.9,53.4,53.6,53.6,53.7,54.6,54.6,55.3,55.3,55.5,55.8,55.8,56.0,56.0,56.6,56.6,56.8,57.5,57.5,58.0,58.0,58.7,59.5,59.5,60.2,60.2,60.9,61.6,61.6,62.1,62.6,62.6,63.8,63.8,64.3,64.8,64.8,65.3,65.3,66.0,66.0,66.7,67.5,67.5,68.0,68.0,69.5,70.8,70.8,71.8,71.8,73.0,75.0,75.0,76.1,77.9,77.9,80.2,80.2,82.4,84.9,84.9,87.3,87.3,89.8,89.8,92.4,94.9,94.9,97.0,97.0,98.6,99.4,99.4,99.9,99.9,100.0
auc,0.6082504999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
