,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201
tpr,0.0,0.1,0.1,0.4,0.4,2.9,2.9,6.7,6.7,11.7,11.7,17.9,17.9,17.9,24.3,24.3,30.4,30.4,36.5,36.5,41.5,41.5,46.2,46.2,46.2,50.4,50.4,54.5,54.5,57.8,57.8,61.8,61.8,65.2,65.2,65.2,66.9,66.9,69.0,69.0,70.3,70.3,71.9,71.9,74.0,74.0,74.0,75.5,75.5,76.5,76.5,77.0,77.0,77.9,77.9,78.9,78.9,78.9,79.6,79.6,80.1,80.1,80.7,80.7,81.1,81.1,81.5,81.5,81.5,82.2,82.2,82.8,82.8,83.9,83.9,84.0,84.0,84.7,84.7,84.7,85.5,85.5,85.9,85.9,86.4,86.4,86.7,86.7,87.2,87.2,87.2,87.8,87.8,88.2,88.2,88.3,88.3,88.8,88.8,89.1,89.1,89.1,89.6,89.6,89.7,89.7,90.1,90.1,90.6,90.6,91.0,91.0,91.0,91.1,91.1,91.7,91.7,92.0,92.0,92.4,92.4,92.9,92.9,92.9,93.3,93.3,93.6,93.6,93.9,93.9,94.2,94.2,94.6,94.6,94.6,95.3,95.3,95.8,95.8,96.5,96.5,97.4,97.4,97.7,97.7,97.7,98.5,98.5,99.0,99.0,99.4,99.4,99.6,99.6,99.7,99.7,99.7,99.7,99.7,99.8,99.8,99.9,99.9,99.9,99.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
fpr,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.4,0.4,1.0,1.0,2.0,2.0,2.0,4.1,4.1,5.6,5.6,7.9,7.9,10.3,10.3,11.9,11.9,11.9,14.4,14.4,15.7,15.7,17.6,17.6,19.1,19.1,20.9,20.9,20.9,21.9,21.9,23.3,23.3,24.4,24.4,25.6,25.6,26.4,26.4,26.4,27.7,27.7,29.0,29.0,29.3,29.3,30.1,30.1,31.1,31.1,31.1,32.5,32.5,34.2,34.2,34.9,34.9,35.8,35.8,36.4,36.4,36.4,36.7,36.7,37.4,37.4,38.6,38.6,39.5,39.5,39.9,39.9,39.9,41.0,41.0,41.9,41.9,42.8,42.8,43.9,43.9,44.7,44.7,44.7,45.4,45.4,46.5,46.5,47.4,47.4,48.6,48.6,49.5,49.5,49.5,50.4,50.4,51.3,51.3,52.0,52.0,52.9,52.9,54.7,54.7,54.7,55.6,55.6,56.6,56.6,57.4,57.4,58.2,58.2,59.1,59.1,59.1,60.3,60.3,61.2,61.2,61.9,61.9,63.4,63.4,64.7,64.7,64.7,65.7,65.7,66.3,66.3,67.5,67.5,68.0,68.0,68.9,68.9,68.9,69.6,69.6,71.3,71.3,72.2,72.2,73.6,73.6,75.6,75.6,75.6,76.6,76.6,77.0,77.0,78.8,78.8,80.2,80.2,82.0,82.0,82.0,83.1,83.1,85.1,85.1,86.3,86.3,87.9,87.9,89.5,89.5,89.5,91.0,91.0,92.7,92.7,94.3,94.3,95.9,95.9,97.6,97.6,97.6,98.7,98.7,99.3,99.3,99.8,99.8,100.0,100.0,100.0,100.0,100.0,100.0
auc,0.8046879999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
